"gaptext","date"
"@jennnovaa ...send an email with your name, address, and number to the Attn of Twitter team.  Tell us the best times to call.",2016-04-19
"@jennnovaa Sorry to hear about all of this. We can get you in touch with someone at Synchrony Bank so you can get more answers.....",2016-04-19
"@YMiranda_J We have a great sale on the site today too!  Check it out.",2016-04-19
"@suffixabuse We are sorry to hear about your trouble with site. We have a great deal on the site today too.",2016-04-19
"@tolw_ We are sorry to hear about your trouble with site. Please give us a call, we want to help.  1-800-GAPSTYLE.",2016-04-19
"@jenn_waters We never want you to miss a promo by a few minutes. Just give us a call, we can help.  1-800-GAPSTYLE.",2016-04-19
"@KikiARyder No need to wait to see. Just give us a call, we can help here.  1-800-GAPSTYLE.",2016-04-19
"@Pinkpants513 We are sorry to hear about your trouble with site. Please give us a call, we want to help.  1-800-GAPSTYLE.",2016-04-19
"@erikamerrell We are sorry to hear about your trouble with site. Please give us a call, we want to see how we can help.  1-800-GAPSTYLE.",2016-04-19
"@EngranelliG We are sorry to hear about your trouble with site. Please give us a call, we want to see how we can help.",2016-04-19
"A day of wandering in Mexico City with @lusttforlife and @CNTraveler. https://t.co/ahAHEpC8jw #nothingbutdenim https://t.co/VBF2qJqW8R",2016-04-19
"@AprilJPulido Please give us a call at 800-GAP-STYLE so we can get more information. We're happy to help make this right. Thanks!",2016-04-18
"@frenchbuzilla Sorry to hear you're having trouble. Try clearing your cache of cookies or use a different browser. Hope this helps!",2016-04-18
"@gurpssahota  I also sent a code to use when reordering to your email address. We are sorry for the inconvenience.",2016-04-18
"@gurpssahota No need to call. I credited your lost order. You will see the credit in 3-5 days.",2016-04-18
"@nkl371 Send us your order number and your concerns so we can see what is happening. Thanks!",2016-04-18
"@olivialieberman we ship the items from the closest distribution center. This results in separate pkgs, but no additional cost for you. Thx.",2016-04-18
"@thisblondeellie Can you send us your email address so we can remove it from our system?  Thanks for reaching out.",2016-04-18
"@stephenpaez we would like to try to help. Can you tell us more about what happened?  custserv@gap.com or 1-800-GAPSTYLE  Thanks!",2016-04-18
"@AprilJPulido Style cash was good through 4/17 at any Gap Outlet or Factory location.  can you tell us why it was refused?  Thanks!",2016-04-18
"@conz We are no aware of a 75% off promotion.  Can you give us more info?",2016-04-18
"@EURODOLLAS sorry for the frustration. We are looping in @asksynchrony for more help with your credit card questions. Thanks!",2016-04-18
"@gurpssahota Let us know if you want the dress reshipped or just credited. So sorry for the disappointment.",2016-04-18
"@gurpssahota You can call 0800 368 0674 from inside the UK. We are happy to reship the order for you, but the Tall Boots are not available.",2016-04-18
".@CharlizeAfrica's sporting GapBody in this month’s @WSJ, looking chic and comfy. https://t.co/cTeYqbyk4s https://t.co/MhSeuA6Y2P",2016-04-18
"@smddizon Please let us know your order number so we can look into this for you. Thanks!",2016-04-18
"@gurpssahota It says it was delivered to reception at Park Abbott Labs on April 7. If they do not have it, please call so we can help. Thx.",2016-04-18
"@gurpssahota Sorry to hear this. Send us the order number and we can see what is happening with the order.  Thanks!",2016-04-18
"For @BANNERSMUSIC, touring is about performing, traveling and style. https://t.co/ahAHEpC8jw #nothingbutdenim https://t.co/IwFP7VqC41",2016-04-16
".@GalMeetsGlam’s jeans easily take her from city to country. https://t.co/ahAHEpC8jw
#nothingbutdenim https://t.co/GLzhrFl9w9",2016-04-15
"@itswuwu We're sorry to see this. Feel free to bring it to your local Gap store and a manager will be happy to assist you. Thanks!",2016-04-15
"@confoundingfact Our styles can change based on customer feedback. We'll share your comment with our product leaders so they're aware.",2016-04-15
"@theredia Sorry to hear about your disappointment. We'll share your feedback with our marketing leaders so they can keep it in mind. Thanks!",2016-04-15
"@samclovermurphy We'd like to talk to you about your experience. Please call us at 1-888-BR-STYLE and use prompts for store experience.",2016-04-15
"When packing for festivals, @camtyox knows denim cutoffs are essential. https://t.co/ahAHEpC8jw #nothingbutdenim https://t.co/V4pUUlZicg",2016-04-15
"@mrs_caracciolo We're sorry to hear this. Feel free to bring them to your local Gap store and a manager will be happy to assist you. Thanks!",2016-04-14
"@fiberfool You can set a department preference by logging into your account. Call us at 800-GAP-STYLE if you have any other questions.",2016-04-14
"@TrafalgarKen Sorry to hear this! Feel free to email us at custserv@gap.com with the details. We'd love the opportunity to make this right.",2016-04-14
"@rivegen We're happy to help! Feel free to call us at 800-GAP-STYLE.",2016-04-14
"@JennWheelock Sorry to hear about your frustration. We recommend calling Synchrony Bank (manages the card) at 800-887-1198 for help. Thanks!",2016-04-14
"@bijouxlille We're sorry to hear this. Feel free to email us at custserv@gap.com with the details. We're happy to help!",2016-04-14
"@LuchoCanton Oh no! You can bring them to your local Gap store and a manager will be happy to offer a full refund or exchange. Thanks!",2016-04-14
"@danicarine You may be locked out after trying too many times. Please call us at 800-GAP-STYLE so we can look into it. Thanks!",2016-04-14
"@JennProject We recommend the True Skinny as a suitable replacement. You can also call us at 800-GAP-STYLE if you have other questions.",2016-04-13
"@Heykelleigh Sorry to hear about your frustration. Looping in @AskSynchrony so they can help. Thanks for shopping with us!",2016-04-13
"Surrounded by blues with @itsmattbauer. https://t.co/ahAHEpTJb4 #nothingbutdenim https://t.co/l4SB6mJVbs",2016-04-13
"@AVMaltese We're sorry to hear this. Feel free to give us a call at 800-GAP-STYLE so we can get a little more information. Thanks!",2016-04-13
"@coeurdelionne There is a search bar in the upper, right corner of the page. Try clearing your cache of cookies or use a different browser.",2016-04-13
"@ChanezC1 We're sorry to hear this. We hope you'll contact Synchrony Bank directly to get it straightened out. Thanks for being a cardholder",2016-04-13
"@juancho8291 We're unable to edit an order after it's been placed. Call us at 800-GAP=STYLE so we can go over your options. Thanks!",2016-04-13
"Let's get to work. Learn how you can join @gapinc and help #CloseThePayGap: https://t.co/D4uUEEPNgc #EqualPayDay https://t.co/aoXKQWYonJ",2016-04-12
".@lustforlife explores the streets of Mexico City with @CNTraveler. https://t.co/ahAHEpC8jw #nothingbutdenim https://t.co/TmqzowRX89",2016-04-12
"@kellytherunner Kelly you can reach out to Gap_press@gap.com for help with your news story.  Thanks!",2016-04-12
"@chrisdbaird it will take you to the preferences page and you can narrow down your interests.  Hope this helps.",2016-04-12
"@chrisdbaird visit https://t.co/GWxr7qmY7H and enter you email where you would to sign up for alerts. Because you are already sub'd,",2016-04-12
"@chrisdbaird Chris, depending on where you are located, you should be able to select preferences for your emails.",2016-04-12
"@anrkot Sorry to hear this. Take them to the store and meet with manager. If they see that its defective, they can help. Thanks",2016-04-12
".@camtyox explores the streets of London in her crop kick jeans. https://t.co/ahAHEpC8jw #nothingbutdenim https://t.co/IumCuBtZaS",2016-04-11
"@ItzYaboiiEddie We're sorry to hear about your frustration. We'll make sure your feedback is shared with our leadership teams. Thanks!",2016-04-11
"@taylorrhughess Do you have a specific style number so we can check for availability? Thanks!",2016-04-11
"@kathyconway Hi there, we recommend the ""True Skinny"" style as a suitable comparison. Hope this helps!",2016-04-11
"@emilya_wright Sorry to see this. You're welcome to bring it to your local Gap store and speak with a manager. They'll be happy to help!",2016-04-11
"@BB10VW Sorry to see you had some trouble. Feel free to give us a call at 800-GAP-STYLE if you're still having issues subscribing. Thanks!",2016-04-11
"@My6Percent Sorry to see this. Feel free to bring it to your local Gap store and a manager will be happy to help. Thanks for sharing!",2016-04-11
"@RohithT We're sorry to hear this. We'll share your feedback with the store's leadership team so it can be addressed. Thanks for sharing!",2016-04-11
"@amylouisethake We're sorry to see this. Feel free to call us at 800-GAP-STYLE so we can go over your available options. Thanks!",2016-04-11
"@a_p_p_l_e_s25 We're sorry to hear this. Feel free to call us at 800-GAP-STYLE so we can go over your available options. Thanks!",2016-04-11
"@brettdrc We're sorry to hear this. We'll share your feedback with our product leaders so they can keep it in mind. Thanks for sharing!",2016-04-11
"@MNochlin We don't have any specifics on restocks, but we'll share your feedback with our product leaders so they're aware. Thanks!",2016-04-08
"@OperaNowPodcast We're sorry to hear this. Can you let us know which store you visited so we can share with their leadership? Thanks!",2016-04-08
"@splursty We're sorry to hear this. Please call us at 0800 368 0674 so we can get more information. Thanks for shopping with us.",2016-04-08
"@OhHayItsKayy Sorry to hear this. It can take up to 10 business days depending on the bank. When did you complete the return?",2016-04-08
"@MPantelis209 We're sorry to see this! Please give us a call at 800-GAP-STYLE so we can go over your options. Thanks!",2016-04-08
"@WaltersCrossing Here's a link: https://t.co/HrxzvmyfHK The blue/white stripe color is sold out. Sorry for the trouble.",2016-04-08
"@civic98sil We're sorry to hear this. Feel free to call us at 800-GAP-STYLE so we can go over your available options. Thanks!",2016-04-08
"@Gxtar You can subscribe to promotional emails by entering your email address at the bottom of https://t.co/09gUyCApkV for great offers.",2016-04-08
"In her best girlfriend shorts, Jamie Bauer is ready to explore. https://t.co/ahAHEpC8jw #nothingbutdenim https://t.co/oANm4FWvPc",2016-04-08
"Singer/songwriter @clovesdot soaks in the Austin vibes with BBQ &amp; sun. https://t.co/ahAHEpC8jw #nothingbutdenim https://t.co/IXnJyegIet",2016-04-07
"@DCNY16 Hi there. The code you can use is SILVERGAP. Make sure you're card number is entered in checkout before applying the code. Thanks!",2016-04-07
"@ambersue02 So sorry, but no availability showed up. Here's a link to styles currently available online: https://t.co/1cjFA6Uix1 Thanks!",2016-04-07
"@LauWoodham Oh no! Please give us a call at 800-GAP-STYLE so we can see what options are available. Thanks!",2016-04-07
"@ambersue02 Hi there, give us the style number (s/xxxxxx-xx) and we'll see if it's still available. Thanks!",2016-04-07
"@audriejane Sorry to hear you're having problems. Please call us at 1-800-GAP-STYLE. We'll help you out!",2016-04-07
"@jenniferanne21 Sorry for any frustration you experienced. Our policies and directions for returns are posted on our website.",2016-04-07
"Allie Taylor takes a snow day to explore Hatcher’s Pass, AK w/ @CNTraveler. https://t.co/ahAHEpC8jw #nothingbutdenim https://t.co/a6z36ZbwFP",2016-04-07
"@theothermtesta Sorry to see this. Please call our Customer Service team at 1-800-GAP-STYLE so we can help you out!",2016-04-07
"Spring is in bloom, and designer @JenniKayne can't wait to get some sun. https://t.co/ahAHEpC8jw #nothingbutdenim https://t.co/hhk04yYEfG",2016-04-06
"@scherzva Sorry to hear about your frustration. We'll share your feedback with our product leaders so they're aware. Thanks!",2016-04-05
"@Yinymini You might be locked out. Give us a call at 800-GAP-STYLE so we can look into this. Please ask for Customer Support. Thanks!",2016-04-05
"@allisonleef Thanks for letting us know. We are sorry for any confusion.",2016-04-05
"@pupsNshine If you didn't get through, try us again today. The cut off times are automatic, but we can help here.  Thanks! 1-800-GAPSTYLE",2016-04-05
"@AvotCosmetics Please call us at 1-800-GAPSTYLE so we can see what options are available to you.",2016-04-05
"@StevenLee23 Sorry to hear this. Take them to the store and meet with manager. If they see that its defective, they can help. Thanks",2016-04-05
"@SarahGodfrey82 ...MLB, Robeez, Minnetonka, Old Soles, Baby Bloch, (RED)TM, Aden &amp; Anais, Gap x ED, GapKids x ED and Mr. Men and Little Miss",2016-04-05
"@SarahGodfrey82 There were some exclusions: Gap: Leather and Suede Apparel and Accessories, Junk Food™, Maternity Bellaband®, .....",2016-04-05
"@kristindillon If you did not get to complete your order, please call so we can see if we can help. Thanks! 1-800-GAPSTYLE",2016-04-05
"@yotouvlo So sorry to hear this. Please call us today so we can see what options are available.  Thanks for letting us help. 1-800-GAPSTYLE",2016-04-05
"@Jason13_G MLB®, Robeez®, Minnetonka, Old Soles, Baby Bloch, (RED)TM, Aden &amp; Anais®, Gap x ED, GapKids x ED and Mr. Men and Little Miss®",2016-04-05
"@Jason13_G There were some exclusions for this promo. Gap: Leather and Suede Apparel and Accessories, Junk Food™, Maternity Bellaband®....",2016-04-05
"@bakedbyrachel Sorry to hear this.. Call so we can see what options are available for you. Thx! 1-800-GAPSTYLE",2016-04-05
"@mikehihz We never want you to miss out due to tech problems. Call so we can see what options are available for you. Thx! 1-800-GAPSTYLE",2016-04-05
"@BrennaSchneide2 This is a great top. With regret it did sell out very quickly. We don't see any restock info for it. Sorry.",2016-04-05
"@NMuels Thanks for the understanding. Have a safe trip!",2016-04-05
"@NMuels we are happy to help with the shipping cost.  let us know.",2016-04-04
"@NMuels Depending on when you are leaving, you could reorder with express shipping and just return the others once you are back.",2016-04-04
"@NMuels Can you send your order number? I may be looking a wrong order.  Thanks!",2016-04-04
"@saltypeachs yes?",2016-04-04
"@danrmil Send us style number, color and size wanted and we can try to find it in a store for you.  Thanks!",2016-04-04
"@danrmil Sorry Danny! If an item sells out, it may be removed from the site until it is restocked.",2016-04-04
"@GarrettDowdy Sorry for any inconvenience, please share this feedback with the store manager. They may be able to help.",2016-04-04
"@NMuels We are sorry that this has affected you trip. We apologize for any miscommunication.",2016-04-04
"@NMuels Sorry for the confusion. The order shows you selected free basic shipping (up to 7 business days).  This make the promised date 4/6.",2016-04-04
"@littlewhitedov Sorry for the long wait. We are looiping in @asksynchrony so they can help with this.",2016-04-04
"@nicolebreanne We hate to hear this. We have shared this experience with leadership for review. Thanks for letting us know.",2016-04-04
"@j_p_browne Sorry to hear this. Please give us a call so we can get more info. We want to see how we can help.  1-800-GAPSTYLE",2016-04-04
"@hokukonane We have been known to bring back items by popular demand. We have forwarded this to merchandising and design for you.",2016-04-04
"@jenniferanne21 We are happy to look into this for you. Please send us the order number and we can see what is happening. Thanks!",2016-04-04
"@ZachWestJr Sorry to disappoint. We shared this with the merchandising team for you.  Thanks!",2016-04-04
"@Ellaaraeya Thanks, we are passing this along to the design team for you.",2016-04-04
"@gorillanephew It may be a typo from a customer entering their email address. Give us a call so we can make sure for you. 1-800-GAPSTYLE",2016-04-04
"@LRNBLK000000 We hope you will visit again to see your feedback does make a difference.",2016-04-04
"@LRNBLK000000 We will be sure to pass your message along through leadership over the store so they can provide the support the team needs.",2016-04-04
"@KatieRBromley So sorry Katie.  We are looping in @asksynchrony so they can help.  Thanks for reaching out.",2016-04-04
"@KelliBrown27 We would like to help if possible. Give us a call 1-800-GAPSTYLE",2016-04-04
".@Sierra_Prescott reaches new heights in Malibu. https://t.co/ahAHEpC8jw
#nothingbutdenim https://t.co/KHQax5CIHc",2016-04-02
"@KatieRBromley What happened? We would like the chance to help.  Let us know what we can do.",2016-04-01
"Girls can do anything. And these kids are here to prove it. #GapKidsxED

Shop now: https://t.co/p4XrSG8YiD
https://t.co/94NLqwQcuC",2016-04-01
"@gwondleabout It is simply to have the sizes in a specific order so it is easy to find the correct size.  Sorry for the inconvenience.",2016-04-01
"@maryjoanderson3 We are for any disappointment this may have caused you.",2016-04-01
"@maryjoanderson3 We do have promos to show our card holders our appreciation.  We also offer many promos that are available to everyone.",2016-04-01
"Designer @JenniKayne shows us her favorite way to wear #1969denim. https://t.co/ahAHEpC8jw #nothingbutdenim https://t.co/KxQbyJpSOh",2016-03-31
"@petetranquillo Here's a link to what's currently available in that size: https://t.co/dFT6E3mzo7 Hope this helps!",2016-03-31
"@runnerconroy Sorry to see this. Feel free to bring it to your local Gap store and a manager will be happy to help. Thanks, Gap",2016-03-31
"@nimeshpokar We recommend checking with your local Gap store for more information on this. Sorry for the trouble!",2016-03-31
"@PanckMs We don't have any specifics right now. You can check our Facebook page or follow @gapkids on Twitter. Thanks!",2016-03-31
"@vbeary Have you Sister-in-law give us a call at 1-800-GAPSTYLE. We would like to get more information from her. Thanks!",2016-03-30
"@mcampbellpike This is so nice of you. I am sharing this with the Jordan Creek team for you.  It will make thier day!",2016-03-30
"@LunaticAtLarge If you would like to give us a call, we can see what options are available to you.  Thanks! 1-800-GAPSTYLE",2016-03-30
"@LunaticAtLarge Because we have extended several late return exceptions for you, we are unable to do it again. We are so sorry to disappoint",2016-03-30
"@LunaticAtLarge Krista, Sorry for the confusion. We do not see a note on your account allowing the return.",2016-03-30
"Always on board with Jamie Bauer’s look. Check out her laid back vibe at https://t.co/ahAHEpC8jw #nothingbutdenim https://t.co/CzgKXCoaAD",2016-03-30
"@Shameorpraise We're happy to hear this! Let us know if you have any other questions. 800-GAP-STYLE or custserv@gap.com. Thanks!",2016-03-29
"@perfectlyplaid Sorry for the disappointment. We've confirmed with our merchants that the sandals are not from Gap. Thanks for checking!",2016-03-29
"@itweetpeople902 We're sorry to see this. Feel free to bring it to your local Gap store and a manager will be happy to help. Thanks!",2016-03-29
"@stephtruman_x Hi, we reached out to our merchants to see if and when there will be a restock. Will let you know what i hear. Thanks!",2016-03-29
"@scichelli Hi, is there something we can help with?",2016-03-29
"@TFS1208  Sorry to dsappoint with our policies.  Currently UK Gift Cards can only be used in stores. We have shared your feedback for you.",2016-03-29
"@perfectlyplaid So sorry Nicole, we heard back that these are not Old Navy Sandals.  We don't know where they are from",2016-03-29
".@AIMEESONG is ready for spring in crop kick jeans. See the outfit at https://t.co/ahAHEpC8jw #nothingbutdenim https://t.co/0MRG83eqso",2016-03-28
"@perfectlyplaid I have asked for more info.  Once I hear back, I will let you know what I find.  Thanks!  Georgianna - ON Customer Relations",2016-03-28
"@mzmoxxi This is great feedback! We will be sure to pass your message along to our design and merchandising team.",2016-03-28
"@ChoiceFashionNY Sorry for any disappointment with our return policy. We can share your feedback.  Thanks for letting us know.",2016-03-28
"@maddy_davison Sorry to see this. Take them to the store and meet with manager. If the see they're defective, they can help. Thanks",2016-03-28
"@BooksSu Please call 1-800-OLDNAVY so we can help. We want to ensure you love what you buy and if not, we want to make it right.  Thanks.",2016-03-28
"@TivoniDevor Sorry to see this. Take them to the store and meet with manager. If the see they're defective, they can help. Thanks",2016-03-28
"@TheRealChubz Please email custserv@oldnavy.com or call 1-800-OLDNAVY with your transaction info so we can help.",2016-03-28
"True to form, @AIMEESONG elevates her distressed denim. See her look on https://t.co/ahAHEpC8jw #nothingbutdenim https://t.co/bhmkVPNESA",2016-03-26
"@BooksSu  Sorry to see this. Take them to the store and meet with manager. If the see they're defective, they can help. Thanks",2016-03-25
"Jamie Bauer is redefining beach day essentials. https://t.co/ahAHEpC8jw  #nothingbutdenim https://t.co/W6RhNKNMmw",2016-03-25
"@itzMzLORi sorry to hear this. Please contact the store manager to arrange to get your Gap Cash. The number is on your store receipt.",2016-03-24
"Be casual, look chic. Find out how @GalMeetsGlam chooses her travel wardrobe. https://t.co/ahAHEpC8jw https://t.co/YjwWXCMZLY",2016-03-24
"@AliMac59 We show today is the promised delivery date. If you don't receive it today, let us know. We'll share your feedback. Thanks!",2016-03-24
"@thecanvascrew If you purchased them online, feel free to print a return label from our website: https://t.co/OZJICXT8v2 800-GAP-STYLE",2016-03-24
"@ShellFrett We're sorry to hear about your frustration. We'll share your feedback with our online leaders so they're aware. Thanks!",2016-03-24
"@owenwarren We're happy to check. Please call us at 0800 368 0674 so we can get more information. Hope to hear from you soon!",2016-03-24
"@CaDrake We're sorry to hear this! Can you email us at custserv@gap.com with the details? We're happy to share with our leadership. Thanks!",2016-03-24
"@AliMac59 Oh no! Can you give us your order number so we can see what happened? Thanks!",2016-03-24
"@MatthewJMetzger We're sorry to hear this. We'll share your concerns with our online leadership teams so they're aware. Thanks!",2016-03-24
"Cool, comfortable, classic. @Sierra_Prescott knows how to pick her jeans. https://t.co/ahAHEpC8jw #nothingbutdenim https://t.co/NtneyjCndW",2016-03-23
"@mholmann_ We are happy to try to help. Can you let us know what happened?  Thanks!",2016-03-23
"@MiltonTweets001 Sorry, we are unable to DM on our Twitter. You can email us at custserv@gap.com or call 1-800-GAPSTYLE.  Thanks!",2016-03-23
"@katknowles3 We're happy to hear this! We'll share it with the store's leadership so the team can be commended. Thanks for shopping Gap!",2016-03-22
"@Fake_mlkstudios follow this link: https://t.co/IbMlQTy84q
Then click on Apply Now.",2016-03-22
"@kimkoenig5 Give us a call at 1-800-GAPSTYLE. We want to help.  Thanks!",2016-03-22
"@elieverines Visit https://t.co/09gUyCApkV returns page. You can print a free prepaid return label to send your items back. Hope this helps.",2016-03-22
"@vh0013 Only our Factory Outlet stores carry our fragrances now.  You may want to reach out to your nearest location to see if its avaialble",2016-03-22
"@MissAishaU Sure, give us a call at 1-800-GAPSTYLE.  We can help arrange an easy exchange.",2016-03-22
"@pradeepsanyal Hi there, we would need additional information. Please call us at 800-GAP-STYLE so we can help. Thanks!",2016-03-21
"When the surf is calling, @itsmattbauer spends his beach day with chambray. https://t.co/ahAHEpC8jw #nothingbutdenim https://t.co/kQOtMVdpxJ",2016-03-21
"@boringgilesmoss Sorry, this is not availabler in beige right now.  Hope you are able to find one.  Thanks!",2016-03-21
"@Timsta19 We want to work to improve the shipping and wanted to collect as much info as possible.  Thanks for your help.",2016-03-21
"@Timsta19 There have been 3 attempts to get the jeans to you and each time you indicated you did not receive them.",2016-03-21
"@Timsta19 Hi Tim, Our records show that a credit was issued to you for the jeans.  We are initiating an investigation because. . .",2016-03-21
"@jediblake You can try clearing your cache and cookies and restarting you browser, or call so we can help you place an order 800-OLDNAVY.",2016-03-21
"@pradeepsanyal We do.  Can you let us know what is going on?",2016-03-21
"@husain_amna We don't have any info about a US Casting call.  We hope you will check back so you don't miss out.  Thanks!",2016-03-21
"@heidi6163ella So sorry. We will share this with the leadership for the Tulsa Woodland Hills team. Thanks for bringing it to our attention.",2016-03-21
"@Mego888 Sorry for any confusion.  The term Boyfriend refers to women’s or girl's clothing that are cut loose in the style of menswear.",2016-03-21
"Sundress season is in full bloom. Happy spring! https://t.co/uljG3rIaq7",2016-03-20
".@vincestaples had the crowd hypnotized at our Gap Showcase. 

#nothingbutdenim #sxsw https://t.co/88roQag7ir",2016-03-19
".@beaubandnyc gives a rock-n-roll edge to a classic Gap jacket at #sxsw. #nothingbutdenim https://t.co/oXSYyVfDBP",2016-03-18
"Picking out denim &amp; vinyl at our Gap Record Shop with @GrizFolk @CleanCutKid &amp; @jamestwmusic

#nothingbutdenim #sxsw https://t.co/EvPrfHjJEB",2016-03-18
"All laughs with @judahandthelion at #sxsw. 

#nothingbutdenim #musicisuniversal https://t.co/wAlYZul0tp",2016-03-18
"Don't miss your chance to hang out with @BJTHECHICAGOKID and get vinyl signed at our Gap Record Shop!  https://t.co/Ey43mZa7QM",2016-03-18
