"jcrewtext","date"
"As the days get lighter, so should your denim https://t.co/eF3K74P8KA #jcrewdenim https://t.co/PAlX80okwu",2016-04-07
"In honor of National Tartan Day, here’s a fun fact: Lauren Hutton still wears a plaid shirt from her first J.Crew job in 1991 #jcrewalways",2016-04-06
"Free shipping. Free returns. Zero fitting-room mirrors https://t.co/4ZDVgZ64rK #jcrewswim https://t.co/8x70sfKM0D",2016-04-06
"Pinch us, please. The stunning @Lupita_Nyongo at ""The Jungle Book"" premiere in J.Crew made exclusively for her https://t.co/JYBwn81gyS",2016-04-05
"Our colors will make your crayon box jealous https://t.co/GeEefyxTnx #crewcuts https://t.co/VcRykF5XbE",2016-04-05
"Spend less time figuring out what to wear each day, and more time drinking coffee… https://t.co/wG8A0CJFz0 https://t.co/QbzBZw40zY",2016-04-04
"You pick the color. They pick the style. Everyone’s happy https://t.co/VDZKP7jita #jcrewwedding https://t.co/SgFf3AMivR",2016-04-03
"Celebrating #nationalpbandjday in one of our other all-time favorite combos, jeans and a tee",2016-04-02
"Take the water balloons and invisible ink pens elsewhere—this combo is foolproof https://t.co/SqymWMxTin #aprilfools https://t.co/ptySiJS4GK",2016-04-01
"You won’t find this vintage Lacoste crocodile anywhere else (unless you have a time machine) https://t.co/lZu4xKWzNH https://t.co/E52EK56Yrv",2016-04-01
"One style of swim short just won’t work for everyone. That’s why we offer 3 unique fits https://t.co/x2EF0X0n8y https://t.co/X2Jl0w1KlU",2016-03-31
"Stop by your crewcuts store on Saturday, April 2nd,  for our special kids’ storytime event: https://t.co/mXHZg69ScD https://t.co/UtC1a5WQck",2016-03-30
"New arrivals!!!!! And yes, they’re good enough to warrant 5 exclamation points https://t.co/g9w36mOOCL https://t.co/D6yGnDmBV7",2016-03-30
"We’re calling it: gingham is spring’s MVP—as in, most valuable pattern.",2016-03-29
"How’d we get these tees so crazy colorful? Magic. Nah, we just dyed them specially in LA. https://t.co/m2CVKMydyi https://t.co/fTv05Kst0F",2016-03-29
"A look at gingham’s, ahem, checkered past (with Brigitte Bardot, our first catalog and more) https://t.co/FeBKN1bQSU https://t.co/yzpaMwiop3",2016-03-28
"For kicks that match everything, stick with designs on the quiet side of the color wheel https://t.co/jXxn85wPVs https://t.co/Vv6fnI35uf",2016-03-27
"The Breton stripe originated 158 years ago &amp; it’s still going strong. Believe that’s what you call timeless https://t.co/637DpJa1Be",2016-03-27
"Get inspired by the latest brides and grooms who said “I do” in J.Crew https://t.co/L5ockMlQSL #jcrewwedding https://t.co/NgqutDiSCy",2016-03-26
"Let's face it, nobody works stripes quite like an NCAA ref #marchmadness",2016-03-24
"All the comfort of a sweatshirt with the clean look of a sweater. https://t.co/gbs4Xur97S https://t.co/byHuxUgMUU",2016-03-24
"Today’s ice breaker: what’s your favorite kind of puppy? We’ll start: all of them #nationalpuppyday",2016-03-23
"Design writer and editor, Tom Morris, on the resurgence of the geometric style https://t.co/MalPRYzx5G https://t.co/HQl0bS5jxR",2016-03-23
"When it comes to stripes, “too many” isn’t really in our vocabulary #jcrewalways",2016-03-23
".@Violetgrey’s @christinathehan on her top beauty tips, and NYC vs. LA https://t.co/ipjKwkv9xj https://t.co/nUTem6OoBl",2016-03-21
"Our famous Ludlow suits are now even cooler thanks to lightweight Italian fabrics https://t.co/P9SwAZ6S8s https://t.co/K2VdbxvkaV",2016-03-20
"Ignore the weather, today really is the first day of spring",2016-03-20
"When it’s 30 degrees one day and 60 the next, a blazer is your best friend https://t.co/LEekMra9kw #jcrewalways https://t.co/1PxCeDG47D",2016-03-19
"Our favorite shades of green: fresh parsley, Spanish moss, neon seamist, vivid lime…  #stpatricksday",2016-03-17
"Dresses so cute, adults are all “I wish these came in my size” https://t.co/RqUlmzv8yd #crewcuts https://t.co/6hcyemAgHx",2016-03-17
"Meet Iris Apfel, one of J.Crew’s (and Jenna’s) absolute favorite human beings https://t.co/aY5h7fFmiz #WCW https://t.co/t1XRamEOdB",2016-03-16
"3 ingredients for spring looks: stripes, scallops and gingham https://t.co/aGFCnVJOH8 #jcrewalways https://t.co/oETHcABQF2",2016-03-16
"71 #newarrivals featuring CRITTERS! (We’re crazy for the little guys) https://t.co/H3l5IG8YBl https://t.co/sWRaCllxGs",2016-03-15
"Your job involves a lot of hard decisions. What to wear shouldn’t be one of them https://t.co/kcFUgZyTuV https://t.co/Xb24Bt44EC",2016-03-14
"We’re pretty sure sequins are good luck https://t.co/ug2CZN63Oc #jcrewwedding https://t.co/sGOh1VNniO",2016-03-13
"How to do the glowy skin, high braid and bold red lip from our New York Fashion Week show https://t.co/7viLykytRL https://t.co/sudhbbbu8T",2016-03-13
"Grab our new collaboration, the @NewBalance 997 Butterscotch, now: https://t.co/fvEnf3DSK0 #jcrewxnb #jcrewkicks https://t.co/DFkgVlvixm",2016-03-12
"We stopped by Miscelanea, to check out the Mexico City treats with owner Guillaume Guevara https://t.co/gze3O1VGCk https://t.co/iph9J3SVCc",2016-03-11
"Made in America: the limited @NewBalance 997 Butterscotch. Read more: https://t.co/6G4OHpD0u2 #jcrewxnb #jcrewkicks
https://t.co/mGL54k7k1P",2016-03-11
"What’s navy and white and adorable all over? These #newarrivals https://t.co/HXnfAdnXH0 https://t.co/QmGXGuc4K6",2016-03-11
"Now that that’s over (puts away parka, gets out denim jacket)",2016-03-10
"We visited Baird McNutt to see how this Irish mill produces the world's best linen https://t.co/mPPjO5lS6e https://t.co/CWUKWoDSoX",2016-03-09
"Band collars and lightweight blazers—it’s time to hit refresh on your wardrobe https://t.co/K3zBljJPwc #newarrivals https://t.co/nTgk6GNET4",2016-03-09
"Ordering it iced this morning #signsofspring",2016-03-09
"You might want to sit down for this: Over 140 new arrivals are here https://t.co/myfwk97D81 https://t.co/RPzo4mC6RQ",2016-03-08
"Dropping March 12: our first-ever collaboration on the @NewBalance 997 https://t.co/dkPew4kMj4 #jcrewxnb #jcrewkicks
https://t.co/lVCKNrAJde",2016-03-08
"Our made-in-LA tees are garment-dyed, so each one is unique (just like you) https://t.co/ZStNixnuVD https://t.co/HIOT5MLF2P",2016-03-07
"Nas Abraham, art director of @TheSAMSONMag, shares his favorite spots in London https://t.co/sBMH4aUrFb https://t.co/Gw21kS3F61",2016-03-05
"Naming colors, sourcing beads and yup—making photocopies. Tune in to the @TODAYshow at 8:30am to see a day in the life of a J.Crew intern.",2016-03-05
"If you’ve ever wanted to go inside our offices, now’s your chance. Tune in to the @TODAYshow tomorrow at 8:30am",2016-03-05
"Our women’s designer Julie takes our 10 percent cashmere tee out for a #testdrive https://t.co/ixOtNi1fpT https://t.co/i1S8EYBege",2016-03-04
"Our favorite pick-me-ups: strong coffee and bright colors https://t.co/xWv8SEwhyg #jcrewalways https://t.co/rt7tWLcS9z",2016-03-04
"The @SeaVees for J.Crew Legend sneakers. Looks like it's all right there in the name https://t.co/gcornZWTo0 https://t.co/crAkQdzGzH",2016-03-03
"A statement necklace: the ! on an outfit https://t.co/lBKvOLvPc8 https://t.co/OaEHBCyJRF",2016-03-03
"Sweater season just got a lot softer. Like, Italian cashmere soft https://t.co/Vbe0SStBXF https://t.co/2ndeDzGSSs",2016-03-02
"Our goal for spring holidays: fancy, not fidgety https://t.co/fsl4a65J2j #crewcuts https://t.co/tbQ9hvPUy5",2016-03-01
"Jenna and our women’s designer Somsack share their favorite moments from #jcrewnyfw https://t.co/oV8xkg0Cxv https://t.co/sem7j5EReg",2016-03-01
"Soooo…what’s everybody gonna do with their extra day this year? #leapyear",2016-02-29
"Looks that—no joke—will get you excited for work https://t.co/OrTod4016X https://t.co/6p6hNkH8CL",2016-02-29
"Finally that “always a bridesmaid” thing is working in your favor https://t.co/g0KSeYNZ8p #jcrewwedding https://t.co/7QYeCLgSF0",2016-02-28
"Because going on vacation is their favorite thing, like, EVER! https://t.co/1GL9WhtSBN #crewcuts https://t.co/aOMu3cspKp",2016-02-27
"Frank, our men’s designer, breaks down the key pieces from our #jcrewnyfw fall presentation https://t.co/njYL8Ps3EW https://t.co/ryw1P9KZ23",2016-02-26
"Wide-leg pants, a new spin on stripes and everything else we’re excited to wear this spring https://t.co/bFKve4tIv7 https://t.co/OVN8FzmpRr",2016-02-26
"London-based art consultant Hikara Yokoyama shares some favorite local spots https://t.co/7CY7v2SsYf https://t.co/m01YFMFvkE",2016-02-25
"We spent a lot of time perfecting our denim washes so you could get that “old favorite” look https://t.co/DPDQduFqBN https://t.co/U7ppQmtduS",2016-02-25
"Designer @MarysiaSwim invites us into her LA studio, &amp; opens up about her cult swimwear line https://t.co/dOAz1MJB1d https://t.co/liCKVD6Hmn",2016-02-24
"Go behind-the-scenes at our March Style Guide shoot, in Mexico City and Tulum https://t.co/3JHPYoVZ69 https://t.co/uxq1GBAvNt",2016-02-23
"Because everybody needs an amazing black pant… https://t.co/DL5OsiMX2w https://t.co/AvZqdmrFKd",2016-02-23
"Today's icebreaker: What’s everybody’s favorite color? We’ll go first: neon dahlia, tuscan olive, heather tigerlily…",2016-02-22
"How to dress down a suit… https://t.co/9Uk35rBhXX https://t.co/hNqgz43IL6",2016-02-21
"67 #newarrivals? Hip! Hip! Hooray! https://t.co/F2sWGmAH0l https://t.co/FKoROlRsf7",2016-02-20
"Looking for some big-day inspiration? Look no further https://t.co/JulTW6fBkJ #jcrewwedding https://t.co/IlQemMbypT",2016-02-19
"Listen up: our #jcrewnyfw playlist is here (and it’s got a little something for everybody) https://t.co/07LUFLZGLm",2016-02-19
"Shades, polos and white jeans? Our #newarrivals are ready for warmer weather too https://t.co/000MZ3IiOy https://t.co/mn7IYBcMTa",2016-02-18
"Things are looking up: #newarrivals are here https://t.co/cPg1ColFpo https://t.co/yY3fwWOb4J",2016-02-17
"Topcoats. Shawl-collar tuxes. Wing tips. Maybe your grandpa wasn’t so crazy after all #jcrewalways",2016-02-16
"Flowers for you, Collection by J.Crew https://t.co/Dox3cLY38L https://t.co/XPzlm3UQO3",2016-02-16
"Ever wanted an Italian cashmere sweater so light you could wear it like a T-shirt? Us too https://t.co/seOeueMLvF https://t.co/iyZZjBVzPk",2016-02-15
"Xoxo #valentinesday",2016-02-15
"Scenes from #jcrewnyfw. https://t.co/eKxlBWAkhP",2016-02-15
"Showtime. #jcrewnyfw https://t.co/ss04yk7US2",2016-02-14
"Mophie on. Artisanal Flat white in hand. NYFW, let's do this #jcrewnyfw",2016-02-14
"#jcrewnyfw countdown https://t.co/WS3bz9mg28",2016-02-14
"Whether your jam is pop or punk, we've got you covered. Our #valentinesday @spotify playlist: https://t.co/782T4ALmrp",2016-02-13
"Touches of texture. Stay tuned for more moments from our #jcrewnyfw presentation in the days ahead... https://t.co/3iTJgJc3uZ",2016-02-13
"Bikinis, cover-ups &amp; lots more reasons to book that plane ticket... https://t.co/7cBmoLUxvE https://t.co/caEXf4kPfm",2016-02-13
"Counting down, t-minus two days til our #jcrewnyfw presentation https://t.co/YvhHxwAX5O",2016-02-13
"How to make a better Valentine’s Day card, according to a few of our favorite artists. https://t.co/lrGlnxPwHT https://t.co/KCrNOk1cit",2016-02-12
"Layer up. (There are more sneak peeks from our fall/winter 2016 presentation coming...) #jcrewnyfw https://t.co/4At715aBAb",2016-02-12
"Because no one does a super colorful, Made in LA tee quite like we do (there, we said it) https://t.co/lcL2uQLkbL https://t.co/Ngnxr42ncX",2016-02-12
"Drake's creative director on how to balance tradition with innovation &amp; embrace your style https://t.co/37bxLVbhCO https://t.co/RbOL3G00mh",2016-02-11
"Dear Italy, thank you for spaghetti, and our very colorful cashmere. Love, J.Crew https://t.co/UliPXXMq0L https://t.co/d7K9zGq9rJ",2016-02-11
"A seriously delicious blueberry scone recipe from @violetcakes Claire Ptak… https://t.co/pd7uv2ZYUP https://t.co/HLGLFQxqGQ",2016-02-10
"Japanese fabric, hand-developed washes and perfected fits https://t.co/z3mrWMzT0L #jcrewdenim https://t.co/n755iPbTbz",2016-02-10
"You asked for them, so here they are: Meet Irving, Sam &amp; Jack https://t.co/fNJIYRy8to #jcrewsunglasses https://t.co/cCk1NHcCiL",2016-02-09
"What’s soft and stretchy and comfy all over? https://t.co/vtZrhWYS9P #crewcuts https://t.co/dsa8OLLNlg",2016-02-09
"Introducing Sunglasses by J.Crew. Meet our new styles (&amp; the people who helped create them) https://t.co/nqlXnxoXZ3 https://t.co/W5MUEIt3YS",2016-02-08
"Outfits that make “going home to change” a thing of the past https://t.co/oFEPhg8mY0 https://t.co/kGWPjphX4z",2016-02-08
"When your bridesmaids say “I’d totally wear this again!” they actually mean it https://t.co/uB7XMjTYRx #jcrewwedding https://t.co/TaUBVCEw0D",2016-02-07
"Oh, is there football on today?",2016-02-07
"Spend a Sunday with the editor in chief of @bonappetit, Adam Rapoport, and his son, Marlon https://t.co/IsMwseV5FW https://t.co/VbWanQL6gD",2016-02-07
"New #shinyponies. That is all https://t.co/x58oby6GJ2 https://t.co/dQ8lRvFQKu",2016-02-06
"Frames that boost your confidence and make you look good https://t.co/9phq4PDlXE #jcrewsunglasses https://t.co/LRcqXQFI8R",2016-02-05
"“Let’s not do gifts for Valentines Day” is a trick. This way to our shop: https://t.co/iz3PXPze1C #valentinesday https://t.co/1HMQKrGWC5",2016-02-05
"“Garment-dyed” is a fancy term for “has that cool vintage look without the thrift shop funk” https://t.co/TpnwNa9nqz https://t.co/oR2TnanL8v",2016-02-04
"Sometimes a statement necklace is all you need to say #jcrewalways",2016-02-04
"What’s inspiring Jenna right now–@Carrie_Rachel, @BlueStarDonuts, emojis and more… https://t.co/fTzxhTEm4X https://t.co/bPJ2wc37CI",2016-02-04
"How does our stylist Gayle feel about tonal dressing and pink suits? Right this way… https://t.co/Qe5zTip5Pz https://t.co/4s0bEV99pT",2016-02-03
"Stop by your crewcuts store this Saturday at 3:30pm for our special kids’ storytime event, Cover to Cover https://t.co/pErIpoZgK5",2016-02-03
"These #newarrivals never use their inside voice https://t.co/Zd1JzPWAM6 https://t.co/a0SZQRfzyo",2016-02-02
"Introducing sunglasses by J.Crew—classic styles for now &amp; 5 years from now  https://t.co/Alu7saTVir #jcrewsunglasses https://t.co/nJM6fmoHgj",2016-02-01
"One perk of year-round fabrics: You’ll never have to put your Italian wool suit into storage https://t.co/dwRDgLPe2m https://t.co/c1ZEBECNfY",2016-01-31
"Our Greatest Trip Ever contest ends soon… Enter to win a free trip (&amp; gift cards) now! https://t.co/kf4Q4KC3T9 https://t.co/0eJe9jMZiC",2016-01-31
"Our favorite thing about the Teddie pant? The kick at the hem. The pockets. No wait, the fit https://t.co/Ou2YnSKPjv https://t.co/w0mPv8FQjk",2016-01-30
"Who else has already abandoned their New Year's resolutions?",2016-01-29
"You’ll have to keep waiting for warmer temps. In the meantime, we have something even better https://t.co/PHUDGsXreu https://t.co/VK5kA7Ig2r",2016-01-29
"#newarrivals: eliciting “but Mom I neeeed them!” since 2006 https://t.co/ujjzjTU7R9 https://t.co/qhDNuS2WFZ",2016-01-28
"213 #newarrivals? Ooh la la https://t.co/Mv23WaoEgy https://t.co/0j6PwenPGp",2016-01-27
"Meet Sam, Betty, Ryan, Irving, Jack &amp; Jill https://t.co/Uuj7aNx1mu #jcrewsunglasses https://t.co/q0pFn31QEl",2016-01-26
"Fact: polka-dots cure bad moods #jcrewalways",2016-01-25
"Want to win a free trip? Of course you do https://t.co/kf4Q4KC3T9 (cc: @jetblue) #jcrewxjetblue https://t.co/TMLgUOwSEv",2016-01-24
"We won’t tell anyone you didn’t break your jeans in yourself (we do it by hand in Kentucky) https://t.co/3q2Xzj7UoJ https://t.co/Be6GgK4T8w",2016-01-23
"See the sights at this @cntraveler's creative director's very cool country home: https://t.co/XgKPNMZqbD https://t.co/4aARv7KVu1",2016-01-22
"Brrrrrrr. That is all.",2016-01-22
"The Directory of Awesome = the styles they always want to wear https://t.co/ra8ZlTgOM8 #jcrewalways https://t.co/Ht49sBIfPf",2016-01-21
"A tailored jacket, Japanese denim, and the bag to bring everywhere https://t.co/MpclT5iYRs #jcrewalways https://t.co/gkl26PdXjY",2016-01-20
"Fact: We designed our Nordic parka specifically for days like this https://t.co/lXddYc4ULJ",2016-01-20
"What to wear to work in the winter? We have ideas https://t.co/LAed94GGg0 https://t.co/OdeIdPYIdt",2016-01-19
"A red lip changes everything. #jcrewalways",2016-01-19
"Tweed from England, cotton twill from Japan: We go wherever the best suiting fabrics are https://t.co/6KLnobBroD https://t.co/6J5PcLqTbb",2016-01-18
"This is what timeless looks like… https://t.co/pBRxJLXolw #jcrewalways https://t.co/mLWAjNxdX0",2016-01-16
"Ok, winter, we get it. You're cold.",2016-01-16
"Our Directory of Awesome is pretty supercalifragilisticexpialidocious https://t.co/p2uW7hc7qI https://t.co/BNl7AuFYef",2016-01-15
"We like options. Our stylist Gayle shows us how to wear 6 new pieces—two ways https://t.co/bzoTROmokR https://t.co/Eqm2MRK7AG",2016-01-13
"How to eat veggies in the dead of winter? This toasted farro salad from @havenskitchen: https://t.co/0WWbkoInRj https://t.co/B9Db9Jrfus",2016-01-12
"Monogramming is the most stylish way to say, “This is mine, and I’m keeping it forever.” #jcrewalways",2016-01-12
"The first #newarrivals of 2016 are here (cue the confetti!). https://t.co/SddCPZHFHO #crewcuts https://t.co/TSWDFTlfXH",2016-01-11
"[sound of shrieking!!!!] New brides-to-be, right this way https://t.co/z5zGz4cMGA #jcrewwedding https://t.co/YBqOUcBJjx",2016-01-10
"We can’t control the weather…or can we? https://t.co/kf4Q4KC3T9 (cc: @jetblue) #jcrewxjetblue https://t.co/Kkv7LOuHSj",2016-01-10
"The best winter sweater? One you can wear for the rest of the year, too https://t.co/kbDHSHez5M #jcrewalways https://t.co/YjDKQIpb1t",2016-01-09
"Our newlywed stylist shares her favorite wedding ideas (like not-lame bridesmaid gifts) https://t.co/QvSAs96g4H https://t.co/TUXsedjVai",2016-01-09
"First thing’s first for 2016: #newarrivals! https://t.co/WpSMn29xbj https://t.co/UVtZ2NqcCy",2016-01-08
"When in doubt, stripes. #jcrewalways",2016-01-08
"Cashmere, from Italy. That is all. https://t.co/wmRFynNjSH #jcrewalways https://t.co/W6M5FFwJnU",2016-01-07
"These #newarrivals are so 2016 https://t.co/VPNFKU7ZoX https://t.co/jUuX2ec6r0",2016-01-06
"Bad news: it's cold. Good news: Our Nordic parka is so warm you could go naked underneath. In theory, of course https://t.co/wP8VJ8VBep",2016-01-05
"Oh right, this is what winter feels like",2016-01-04
"The gift of staying warm while looking cool https://t.co/ac0bZWcFr5 #crewcuts https://t.co/5y7kQ8eJYf",2016-01-04
"When there's a chance of flurries, don't take chances with your footwear https://t.co/VBncVSKuwN https://t.co/A4OUqm6BG1",2016-01-03
"Commencing winter hibernation…now. #jcrewholiday",2016-01-01
"We’ve got a good feeling about 2016 https://t.co/bLBNF70Bwj https://t.co/mEfiQUKFB4",2016-01-01
"Confetti &amp; clutches #holidaypairs",2016-01-01
"Sequins are a 365 days a year thing for us—but today we wear extra",2015-12-31
"Start with the jewelry. It's kind of like having dessert first https://t.co/5XCOEWFuft https://t.co/HefA1qOmRJ",2015-12-30
"Sugar cookies &amp; sequins #holidaypairs",2015-12-29
"Tartan + a red lip = party outfit dream team https://t.co/M7pNVu0oFM #jcrewholiday https://t.co/dmHnOEQymQ",2015-12-28
"Candy canes &amp; striped shirts #holidaypairs",2015-12-27
"Win a free trip, this way. Time to get your bikinis and swim trunks out of storage https://t.co/kf4Q4KC3T9 https://t.co/P6GYkBYGjK",2015-12-27
"How many holiday cookies is too many holiday cookies? Asking for a friend #jcrewholiday",2015-12-26
"Inspired by the great outdoors: the Woodsman sweater https://t.co/dtDJrQ6rte https://t.co/Rq2ZcI87QY",2015-12-26
"You know what? It’s ok if your presents look like they were wrapped by a monkey wearing mittens. #jcrewholiday",2015-12-25
"Let’s play a game. Fresh parsley, hazelnut, cinnamon, lemon zest: J.Crew colors or holiday dinner ingredients? #jcrewholiday",2015-12-24
"The gift of warm and fuzzy is always on the nice list https://t.co/1GzFLOiXFb #jcrewholiday https://t.co/wsEHUsZGie",2015-12-23
"Get him something that speaks to his “rugged yet soft” side https://t.co/d4fJErbvwu https://t.co/T22u8VDUmL",2015-12-22
"There’s still time to shop in stores! Phew. Find yours here: https://t.co/c8Qwd06VHE",2015-12-22
"Cozy extras: We recommend buying multiples…because you know you’re going to lose something https://t.co/OYMZH5kMbl https://t.co/RKwFRFJXVS",2015-12-21
"Add a free monogram appliqué to any tee purchase at our 5th Ave. and Rock Center stores in December https://t.co/lsLmBu226u #jcrewholiday",2015-12-19
"Go ahead and ignore the forecast—our coats are ready for anything https://t.co/a1TR3U5xLm https://t.co/ghXYhopPY2",2015-12-19
"Your outfit should be memorable even if the party isn't #jcrewholiday",2015-12-18
"Step 1: find J.Crew store. Step 2: find gifts. Step 3: do victory dance https://t.co/usXqJwTJl3 #jcrewholiday",2015-12-17
"And since you still have to go to work in December… https://t.co/VMa5ooKomx https://t.co/FaFxBkaEPM",2015-12-17
"Stylist and blogger @theurbanesavant shares his tips for dressing up during the holidays https://t.co/ZtaWObHFxN https://t.co/7ARR7zUuV3",2015-12-16
"Topcoats &amp; topknots #holidaypairs",2015-12-16
"Cute and cozy accessories that make spot on gifts https://t.co/9b0uXtOhjo #crewcuts https://t.co/I3WVTwzTEZ",2015-12-16
"Cookie baking, pjs all day…how @doobop_beauty cofounder Jodie &amp; family do the holidays https://t.co/cmA4xYOchQ https://t.co/WSyCzAlin7",2015-12-15
"Because a visual gift list is much easier to shop from: https://t.co/iLdeEVkdHd (cc: @Pinterest) #jcrewholiday https://t.co/oTqGACfI2M",2015-12-15
"55 new arrivals means 55 new ways to be the best gift giver https://t.co/7OHK93y7a3 #jcrewholiday https://t.co/fK03TUykOm",2015-12-15
"The Great Gift List is here. Now all you have to do is find a really good hiding place https://t.co/A26qinw6Z3 https://t.co/gJE9O2SuYc",2015-12-14
"The best place for holiday drama is your jewelry box #jcrewholiday",2015-12-14
"Because you’re not a mindreader: The J.Crew Gift Card https://t.co/0YJWmnKEyd #jcrewholiday",2015-12-13
"It’s officially time-to-plan-a-vacation weather. Win a free trip and your packing list here: https://t.co/kf4Q4KC3T9 https://t.co/xISCEGYgMM",2015-12-13
"Our @starwars collection is “beep, beep, beep, beep” (Droid translation: out of this world) https://t.co/GzaqtH230O https://t.co/cOIfr3zMKV",2015-12-13
"Because no one does a lazy Saturday morning quite like we do https://t.co/DnJSyl2Vd9 #jcrewholiday https://t.co/5T6UHaqAJN",2015-12-12
"Bright cashmere &amp; dark chocolate #holidaypairs",2015-12-11
"@claircg Oh no - sorry to hear this. Would love to find out more so we can look into - please email us at 24-7@jcrew.com with the details.",2015-12-11
"You don't have to be a member of a Scottish clan to appreciate a sturdy plaid scarf https://t.co/8BNzPTLdZK https://t.co/swEZscm5Jh",2015-12-11
"Because eventually you do have to get out of bed. Sorry. https://t.co/paGKW787hh https://t.co/hb3QMSUnmY",2015-12-10
"Today’s forecast: Add a layer, take off a layer, add a layer, take off a layer…",2015-12-09
"Outfits so cute you might let them stay up an extra hour this year https://t.co/OQpjFMYVFt #jcrewholiday https://t.co/5WYih6CUG7",2015-12-09
"The best kind of holiday card? One that gets you 15% off your first order... https://t.co/RPLmwbxnAH #jcrewholiday",2015-12-08
"Your winter outerwear forecast: sharp, stylish, with 100% chance of warmth https://t.co/UUy57yoIoJ https://t.co/ittABIg4lI",2015-12-08
"How to gesticulate better: Italian leather gloves lined with cashmere https://t.co/KE9UfGP2Xq https://t.co/fp6hlPwqqx",2015-12-07
"Cold floors &amp; cozy slippers #holidaypairs",2015-12-06
"We visited illustrator Pierre Le-Tan to talk his new limited-edition collection for J.Crew https://t.co/8kjU5Ppvl5 https://t.co/sqckSrsJcz",2015-12-06
"A customizable tote from @yellowowlwkshop, aka the gift that will occupy her for hours: https://t.co/RFenDAim07",2015-12-05
