"expresstext","date"
"Got a sticky situation ahead? We've got a shirt for that. Ì†ΩÌ±î #ExpressMen #1MX
https://t.co/ZDrPTntc8E https://t.co/84el8HG8RR",2016-04-23
"We love bright white for spring! Shop now for FREE shipping on orders $50+. Exclusions apply:https://t.co/iqiXjy8FZW https://t.co/JskMqtF7sS",2016-04-23
"Want a chance for you &amp; your selfie to win a $100 gift card? Deets on the blog: https://t.co/JLpH6CmxwH https://t.co/mxQ6g0K4lV",2016-04-22
"Outfit status: Resort-ready.
https://t.co/6YAHjjzcnx https://t.co/Tg11uLZgC6",2016-04-22
"LIVE on #Periscope: LIVE from the Express Design Studio https://t.co/QsCHxgVouk",2016-04-22
"""Let's not take this planet for granted."" - Leonardo DiCaprio #HappyEarthDay",2016-04-22
"Our #NYC stylists are talking the white trend on #Snapchat! Friend EXPRESS to join in.
https://t.co/esMecaF0Hh https://t.co/8DXruN5Rni",2016-04-22
"Not sure how to wear all white everything? @jessimalay has an idea... #ExpressPartner
https://t.co/hcM1LfFUxq https://t.co/yUWseBoLWF",2016-04-22
"Our stylists rework the white trend 3 ways on our blog.
https://t.co/EywrxNntOj https://t.co/kmIDGFVWoh",2016-04-22
"You're already on the guest list, now get on the best-dressed list. #ExpressMen
https://t.co/Bimma1phCe https://t.co/FdKmymbAAn",2016-04-21
"We're talking the all-white-everything trend on #Periscope tomorrow. Tune in to join the convo. https://t.co/o4R6rt8AJ1",2016-04-21
"Purple Rain. On repeat. #RIPPrince",2016-04-21
"Pro-tip: Keep your eyes on the elbow...you don't want to wiff it. #NationalHighFiveDay",2016-04-21
"Step 1: RSVP. Step 2: Head to Express Factory Outlet and find the perfect look.
https://t.co/Noh0E2zYy7 https://t.co/WXVzD7BThr",2016-04-21
"How a gentleman does grooming...
https://t.co/ThlG1gHD6F https://t.co/ZwXbe09kHl",2016-04-20
"Your bikini isn't just for the beach anymore...Ì†ΩÌ±ô #FestivalReady
https://t.co/zdXbcoLlLw https://t.co/qyneMeYHOE",2016-04-20
"Strap in, because our #Pinterest fans are feeling our strappy bodysuit. #TopPinned
https://t.co/fmWStwHJCA https://t.co/KazJeIDzHR",2016-04-20
"Even pros need to chill. #KrisBryant #ExpressMen
https://t.co/2m4tP7tqQh https://t.co/hXTsjIv82A",2016-04-19
"Long story short...you're going to need all of these.
https://t.co/fpnESyUWON https://t.co/KcreymVXfK",2016-04-19
"Rugged style for the daily grind. #OneEleven #ExpressMen
https://t.co/mHo3GI1lkc https://t.co/UbLKdEHQqe",2016-04-19
"Wondering what to wear to the fest? Take a cue from @nataliageorgala. ‚úåÌ†ºÌøª #ExpressPartner
https://t.co/bSxPI9MNwH https://t.co/x3XVNbVY12",2016-04-19
"Show your softer side. #EmilyRatajkowski #OneEleven
https://t.co/2fgabyn5jj https://t.co/zBhS09l6a2",2016-04-18
"Get your game face on in an Express Tech 1MX shirt. #KrisBryant #ExpressMen
https://t.co/LzzhO7Uc9z https://t.co/mzgailhSwP",2016-04-18
"If you're going to do twill + denim, do it like @GrasieMercedes. #ExpressPartner
https://t.co/sLxBgf8W4H https://t.co/d04W67va2G",2016-04-17
"Another reason to hit the gym: New #EXPCore gear. 
https://t.co/WHCvKULFNy https://t.co/EflaYVRqHm",2016-04-17
"What to wear tonight: Something that makes everyone say ""Yaaas Queen!"" Ì†ΩÌ±∏Ì†ºÌøæÌ†ΩÌ±ë
https://t.co/I2BSDmF3wU https://t.co/Nt315ZcfEM",2016-04-17
"Festival vibes + outfit inspiration to start your Saturday. #YoureWelcome #WeLoveYou
https://t.co/1irApFm35L https://t.co/QbEreIP862",2016-04-16
"Festival season is coming...is your closet ready? 
https://t.co/FRrvKtkU1f https://t.co/FV7Hzk9l5F",2016-04-15
"Not sure what to wear to your fave music fest? Friend EXPRESS on #Snapchat + take the quiz! https://t.co/bOpgRbrIXB",2016-04-15
".@GalMeetsGlam takes a break from her signature dresses to rock culottes + stripes.
https://t.co/w7FPswiqpY https://t.co/uX9gJWBP4b",2016-04-15
"Got a graduation party this weekend? We've got a look for that.
https://t.co/XzCcpXVt6Z https://t.co/uaAMocDNLb",2016-04-14
"More tees, please. #ExpressMen
https://t.co/sIF9c2oqY6 https://t.co/QAmGfva4gK",2016-04-14
"Had a hard week? Put on a soft shirt. #OneEleven #ExpressMen
https://t.co/IGVxXqGUJ5 https://t.co/2CejZRDNfh",2016-04-14
"Baubles or bandanas? We vote both. Ì†ΩÌ≤ÅÌ†ºÌøº #DevonWindsor
https://t.co/6FgVY34gLO https://t.co/v5ARg4z9Gg",2016-04-13
"#KrisBryant has a few tips on fine-tuning your style game. Check them out on our blog.
https://t.co/zCePhMwTcc https://t.co/Z0qFo1KKzL",2016-04-13
"Beautifully made. Ethically sourced. Check out #ChanLuu Jewelry in our Featured Brands.
https://t.co/MxBKSLdZTq https://t.co/RxiCcrgc42",2016-04-13
"Our #Pinterest fans are getting strap happy. #TopPinned
https://t.co/dLHVZXwHio https://t.co/Acj2Xf0aSS",2016-04-13
"We're signing off! See all the highlights now on Snapchat! #ExpressMen https://t.co/NOvFve0uDP",2016-04-13
"Celebrating a home opener win w #KrisBryant in Chicago! Check out the interview on Snapchat &amp; Persicope! #ExpressMen https://t.co/moojfI4yKL",2016-04-12
"LIVE on #Periscope: LIVE! With #KrisBryant #ExpressMen ‚öæÔ∏è https://t.co/gL5xlgIGYX",2016-04-12
"If only those ""find your phone"" apps worked for missing earrings.",2016-04-12
"Tonight we are hanging out with @KrisBryant_23! Follow EXPRESS on Snapchat and Periscope at 7 p.m. ET to tune in. https://t.co/D6gLij8PmR",2016-04-12
"We are hanging out with Kris Bryant and @GQMagazine in Chicago! Tune in TOMORROW at 7 pm ET to go behind the scenes. https://t.co/B2KiFXRVBT",2016-04-12
".@NANYSKLOZET your sunglasses game is on Ì†ΩÌ¥•. #ExpressPartner https://t.co/BSFis4BCjc",2016-04-11
"Get your game-face on #KrisBryant... it's #GameDay!",2016-04-11
"Our reaction to #BritneySpears releasing a new album next month: Ì†ΩÌπåÌ†ΩÌ∏çÌ†ΩÌ≤É",2016-04-11
"Give pants the cold shoulder this #spring. Shop new arrivals in shorts: https://t.co/CWpHYWcoEm https://t.co/t5F9emDGgh",2016-04-11
"Who‚Äôs ready for the #MTVMovieAwards?! Any predictions? Ì†ºÌæ¨Ì†ºÌøÜ",2016-04-11
"Be your own #goals.
https://t.co/vOF4PUvuoA https://t.co/WwhKLZ6R34",2016-04-10
"Watching re-runs of ""Sister Sister"" to celebrate #NationalSiblingsDay Ì†ΩÌ±Ø",2016-04-10
"Sunday essentials: #OneEleven + a cuddle buddy.
https://t.co/KHVyMXFEEf https://t.co/OjHtDrYYPr",2016-04-10
".@augustdiaries gets all laced-up in our fave crop top. #ExpressPartner
https://t.co/P7icwokhN5 https://t.co/So5kAeNfuK",2016-04-10
"Today we're communing with nature. And by communing with nature, we mean patio drinks. ‚òÄÌ†ºÌΩπ",2016-04-09
"#SpringVibes all over our #Snapchat. Visit us in-store to see our new geofilter! https://t.co/BwPgUeOp6b",2016-04-09
"Need some music motivation for your workout? Add the ExpressRocks station on #Pandora!
https://t.co/b9LiPNPqWY https://t.co/Q9Kmcd8uQD",2016-04-05
"Job hunting? Before you meet the new boss, get interview-ready with these tips: https://t.co/zhq0kpG7Cj https://t.co/ZemRiS4o4j",2016-04-04
"Running errands? Better put on your joggers. #StyleInspo @IamGALLA 
https://t.co/BrgxtXw3QF https://t.co/lO154PyWTq",2016-04-04
"What to wear today: Your brightest pattern.
https://t.co/WU2nH7IxLI https://t.co/8uNh2miuF2",2016-04-04
"The right suit will have you actually looking forward to work. #KrisBryant #ExpressMen
https://t.co/u3WEAyfLSV https://t.co/K24UKe9fjB",2016-04-03
"Take us out to the ball game... Baseball season is officially here! #OpeningDay #KrisBryant https://t.co/G0YcIdiB2y",2016-04-03
"We'd wish #KrisBryant luck on #openingday...but he doesn't need luck. ‚öæ",2016-04-03
"When you + your #bff show up to the party and everyone is like #squadgoals Ì†ΩÌ±Ø
https://t.co/56iKhDsBch https://t.co/cM12MI3CVy",2016-04-03
"Well, our brackets are basically trashed...At least there's beer?Ì†ºÌøÄÌ†ºÌΩª #MarchMadness",2016-04-02
"Dear @ElizabethMinett ...You totally get our Saturday vibe. https://t.co/IbHdwsYnID",2016-04-02
"Last chance for an additional 30% off clearance for up to 70% off! Don't miss this. https://t.co/7wpW5YfLPY https://t.co/fEEygm8N7R",2016-04-02
"Got festival fever? Check out our blog for the ultimate festival packing list. https://t.co/cSy2jpqqaL https://t.co/HchRRcWxyH",2016-04-01
"Friend EXPRESS on Snapchat to find the perfect tees for you + the rest of the #bridesquad Ì†ΩÌ±∞Ì†ºÌøº https://t.co/26OT7kYeoo",2016-04-01
"Is #bodysuitgoals a thing yet? It should totally be a thing. #EmilyRatajkowski
https://t.co/zzkBclUhK4 https://t.co/rs2gTyRtcN",2016-04-01
"Don't lose your cool. Wear an Express Tech 1MX shirt and handle it like a pro. ‚öæ #KrisBryant
https://t.co/kb5INDgcww https://t.co/qTDrkcVW74",2016-04-01
"Don't believe anything you read today...Except tweets that tell you not to believe anything you read today. #AprilFoolsDay",2016-04-01
"Rocking culottes this spring? We've got all the insider styling tricks on our blog! https://t.co/fl7dQh3tXE https://t.co/Si4Z5dLLyD",2016-03-31
"All the pieces you need to kick off the festival season.
https://t.co/uhH3lmsIeY https://t.co/3qJNXA79yI",2016-03-31
"Right now clearance is an additional 20% off. Save up to 60% on spring essentials!
https://t.co/bIWyz2EMKL https://t.co/ibn98ksv6K",2016-03-31
"Take ""bikini babe"" to a whole new level. Ì†ΩÌ±ô https://t.co/A4niFtXCyW",2016-03-31
"Festival season is almost here...Better get your closet ready now! Find a store: https://t.co/Qkefhj9A8Y https://t.co/HSVItnT2HM",2016-03-31
"The groom's gift that keeps on giving. Shop the Carry On Drink Kit by @wandpdesignbkÌ†ºÌΩ∏
https://t.co/kcCGRKZaxq https://t.co/VjjerU4APP",2016-03-30
"Spring cleaning! Get an additional 20% off clearance for up to 60% off in-store and online.
https://t.co/mfGtXZZqk0 https://t.co/9jDOwOXdgI",2016-03-30
"Cross our heart and hope to tie, #Pinterest is loving our bell sleeve blouse. Ì†ºÌæÄ #TopPinned
https://t.co/kwqp6smxj3 https://t.co/LMQYyxs5O9",2016-03-30
"Ready to show off that pedi? Ì†ΩÌ≤ÖÌ†ΩÌ≤ÅÌ†ΩÌ±°
https://t.co/H2vVx9Be5U https://t.co/w1IGh5CLQG",2016-03-30
"""Wish you were here"" doesn't even begin to cover it. #TravelTuesdays https://t.co/AAjNYDzC1B",2016-03-29
"This season's must-have accessory? Shoulders. Ì†ΩÌ∏ç https://t.co/1Q6IqZ2P3H https://t.co/ea17xMLz4S",2016-03-29
"Two pieces... One perfect look. #DevonWindsor https://t.co/UszXWLuSdb https://t.co/zlghxaCoBQ",2016-03-29
"Friend EXPRESS on #Snapchat + snag our exclusive #geofilter next time you visit us in-store. Ì†ΩÌ±ªÌ†ΩÌ≥∑ https://t.co/0qF6eBH46S",2016-03-29
"Suede vibes + ocean air. Ì†ºÌºä #NatashaPoly https://t.co/ayTmmtfL89 https://t.co/JHcHYd92TI",2016-03-29
"Tech fabrics, easy care &amp; miles of style, Express Tech 1MX performs like a pro. #KrisBryant
https://t.co/EgdhMY4c2b https://t.co/OrkFh7nkNn",2016-03-28
"Can you get a hangover from too much marshmallow candy? Asking for a friend...Ì†ΩÌ∞∞Ì†ΩÌ∞£",2016-03-27
"#TeamSunday https://t.co/mNdkTU08eb",2016-03-27
"Poolside chill sesh with #EmilyRatajkowski + #OneEleven. 
https://t.co/ojwdd4k8eq https://t.co/vlSAzP06cy",2016-03-26
"Do Friday night right like @Onedapperstreet in stripes + a spring jacket. Ì†ΩÌ±å
https://t.co/4xAgEhlSTs https://t.co/nYzMTzCtJH",2016-03-25
"Get back to basics with our soft + sexy #OneEleven collection. https://t.co/AYUxgGCgzD https://t.co/oE4QLGV8XH",2016-03-25
"You'll want to look nice for grandma this weekend...
https://t.co/oNfkjJLKjI https://t.co/HU0XRAh4Vs",2016-03-25
"Soft fabrics, sexy styles‚Ä¶ Our #OneEleven collection was made for spring. https://t.co/Hm779o8ccS https://t.co/cdNpzrpBZw",2016-03-24
"Ready for festival season?! Friend EXPRESS on Snapchat + see our festival-ready style guide. https://t.co/ibYiu08bVU",2016-03-24
"Wondering which spring #sunnies fit your personality? We‚Äôve got a blog for that. Ì†ΩÌ∏é https://t.co/MK3TR4Nj0p https://t.co/mJr8lyysfZ",2016-03-24
"Oh you know...Just @vivaluxury taking our striped trench for a spin.
https://t.co/lqLxtq7PDe https://t.co/ZPYwOUAYhx",2016-03-24
"When your denim has some stretch, it's easier to bend the rules. #ExpressMen
https://t.co/QkfITMyZk2 https://t.co/GlDtutkX7Z",2016-03-24
"Super soft and super sexy, our #OneEleven collection takes basics to a new level. https://t.co/K7yyE3UFQ0 https://t.co/d7M920ud0u",2016-03-23
"Bachelorette party coming up? We have a dress for that. Ì†ΩÌ±óhttps://t.co/7BcZEcjUBD https://t.co/IggpV0I9Cn",2016-03-23
"Take your look up a notch with @Creative_Rec sneakers.
https://t.co/jQ0W2pek7K https://t.co/fZC1XY64jo",2016-03-23
"We are totally obsessed with soft twill this spring... Find out why on our blog! https://t.co/ze23RuNlBZ https://t.co/YBvTCkxyRW",2016-03-23
"Need #styleinspo? Our paisley maxi dress was #TopPinned! Ì†ΩÌ±ó
https://t.co/8S7mYwLEvp https://t.co/UlpBY4egxV",2016-03-23
"Every day should be #NationalPuppyDay Ì†ΩÌ∞∂Ì†ΩÌ∞∂Ì†ΩÌ∞∂",2016-03-23
"Easy care. Classic style. The Express Tech 1MX performs like a pro. #ExpressMen #KrisBryant
https://t.co/yEZPhUMOYe https://t.co/BIANluXgMr",2016-03-22
"We'd rather be on vacay. Ì†ºÌº¥
https://t.co/gZQ3Ti0KPO https://t.co/sDKT78GZr9",2016-03-22
"You worry about the RSVPs. We've got the outfit covered. Ì†ΩÌ±ó
https://t.co/a9OjpvfP1i https://t.co/VdQ2ypOxdv",2016-03-22
"What does your signature scent say about you? #HappyFragranceDay
https://t.co/tfDLNPEZYw https://t.co/nRDEsxz8DO",2016-03-21
"Who's ready to dive into spring? Ì†ΩÌπã Ì†ºÌºä Ì†ºÌøä #EmilyRatajkowski
https://t.co/YmwFRJjasM https://t.co/Jd2nq9oAVS",2016-03-21
"A little birdie told us it was Twitter's birthday...Ì†ºÌæâÌ†ºÌΩ∞ #HappyBirthdayTwitter",2016-03-21
"His &amp; hers #OneEleven for your Sunday cuddle sesh.
https://t.co/ofEz9cmavX https://t.co/8rnIMD3uHO",2016-03-20
"Spring #goals: Have all the adventures. Ride all the bikes.Ì†ΩÌ∫≤ https://t.co/WZfFeL48ML https://t.co/OSgJdiGlM5",2016-03-20
"It's officially spring! Let's hope the weather get's the memo. ‚òÄÌ†ºÌºàÌ†ΩÌ±çÌ†ºÌøª",2016-03-20
"Last day! Save big on spring's hottest styles with promo code 1266. Don't miss out! https://t.co/q2pP05MqcV https://t.co/CMamaD4Jb0",2016-03-20
"Stress-free style option: The one-and-done jumpsuit.
https://t.co/lGk2XnMLBA https://t.co/LiAULN6hEH",2016-03-19
"Need a pick-me-up? We suggest iced coffee and stripes. #EmilyRatajkowski https://t.co/4i9a2LrsqR",2016-03-19
"Pack up the parka &amp; stock up on spring style at an Express Factory Outlet near you!
https://t.co/U5jODJnWI4 https://t.co/tw34HEGdsM",2016-03-19
"#BTS vibe: Spring romance Ì†ΩÌ∏ç
https://t.co/xK7PSpOM4R https://t.co/3eJVqu3Lmn",2016-03-18
"#BTS of our brand ambassador @KrisBryant_23   knocking it out of the park. ‚öæ
https://t.co/nMBhMLg5He https://t.co/6g0wDOrkd3",2016-03-18
"FACT: When it's #ExpressMen, workwear doesn't have to be boring. 
https://t.co/jDS3Kcws2Q https://t.co/FxDohCJTBm",2016-03-12
"Skip laundry and get a new look at Express Factory Outlet. No detergent necessary.
https://t.co/iYekEe9eY5 https://t.co/byUfHSXbcB",2016-03-12
"Going out? Mix it up with a jumpsuit or a two-piece look. Ì†ΩÌ±ØÌ†ΩÌ≤É
https://t.co/vepudcUFf8 https://t.co/koNlxiWBrU",2016-03-11
"Looking for the perfect swimsuit? We've got a guide for that...Ì†ΩÌ±ôÌ†ºÌº¥‚òÄ
https://t.co/nMIY4e26E1 https://t.co/LuRkrbdn2y",2016-03-11
"Have you met our #Expressmen brand ambassador #KrisBryant yet? Get on that. ‚öæ https://t.co/dhLdoZeSX5",2016-03-11
"Pretty soon, it's going to be too hot for pants. #ExpressMen stock up on shorts for spring. 
https://t.co/XWuiRvVxmo https://t.co/V3lFeKvBOm",2016-03-10
"Sundress + sandals + jacket = Spring uniform. Ì†ºÌº∏‚òÄÌ†ºÌºà
https://t.co/STmyGpjyy5 https://t.co/YCPJJaz5bc",2016-03-10
"Need packing #inspo for Spring Break? Right this way. Ì†ΩÌ±âhttps://t.co/zIfWygzGWm https://t.co/9s4SoAHQp6",2016-03-10
"See why @Havaianas flip flops made it into our Featured Brands.
https://t.co/KxNNJUrsxy https://t.co/Zyb4lKPrFf",2016-03-09
"Spring break packing must: A different pair of swim trunks for every day of vacation. Ì†ºÌº¥‚úàÌ†ºÌºä
https://t.co/UTXuSoXyRl https://t.co/nSO1pFqI1U",2016-03-09
"Stock up on your spring essentials with $25 off every $100 you spend with promo code 1224.
https://t.co/pq94b8GME3 https://t.co/WapcIR8YyN",2016-03-09
"Our classic trench is #TopPinned this week because...obviously Ì†ΩÌ∏ç
https://t.co/nRYraiKUf2 https://t.co/KgYVtH3SDU",2016-03-09
"Tuning into #PLL tonight? Keep your eyes peeled for our new arrivals! Ì†ΩÌ≥∫",2016-03-09
"Rugged style. Soft fabrics. Our Express #OneEleven for #ExpressMen has it all.
https://t.co/FLnsFdaWHI https://t.co/GhLx20BPh5",2016-03-08
"If you could go anywhere on #TravelingTuesday...where would it be?",2016-03-08
"When #EmilyRatajkowski does off-the-shoulder: Ì†ΩÌ≤ÅÌ†ΩÌ±åÌ†ΩÌ∏ç
https://t.co/wcaHZQ6hH6 https://t.co/D8LCrELJsF",2016-03-07
"Happy birthday @DevWindsor! You're one of our favorite #Pisces. Ì†ΩÌ∞üÌ†ºÌΩ∞Ì†ºÌæÇ",2016-03-07
"Monday motto...
https://t.co/oTTFPdU9ll https://t.co/6eh53CDBpF",2016-03-07
"Fit to be tied: Loving #DevWindsor in our #OneEleven collection.
https://t.co/c04yAnmVKj https://t.co/Av8ClHna6R",2016-03-06
"Our #ExpressMen Flex Stretch Denim makes it easier to bend the rules. 
https://t.co/fXhohVoh12 https://t.co/UMSBWSVvDw",2016-03-06
"Last day! Save on your spring faves with $25 off every $100 you spend with promo code 1184. https://t.co/0u8BpniNR9 https://t.co/WpiEphfE51",2016-03-06
"Today's brunch topic: Spring Break packing coordination. (And who gets permission to borrow what.)",2016-03-06
"Going out? Better step it up this spring. https://t.co/nK1Vwrh20j https://t.co/UFEb2U0TAs",2016-03-06
"A bikini isn't the only 2 piece you need this spring.
https://t.co/FYIOfktZXf https://t.co/vkhvduyNCG",2016-03-05
"Your spring wardrobe could use a remix. Visit an Express Factory Outlet near you! 
https://t.co/8ENqoOX4RN https://t.co/wLsrCENueX",2016-03-05
"Got Spring Break Fever? Friend us on Snapchat and play Spring Break emoji games to speed up the spring countdown! https://t.co/KNUBceiETQ",2016-03-04
"A weekend in #Vegas requires the perfect #LBD and your #BFF.
https://t.co/vCByC0Fl0v https://t.co/3HGHVDygnF",2016-03-04
"Now on the blog! The #ExpressMen what-to-wear guide for different wedding destinations. Ì†ΩÌ≤çÌ†ΩÌ±î https://t.co/qiHwWq4x20 https://t.co/AAXhuqQ7Ep",2016-03-04
"Ready for a spring wardrobe refresh? Save $25 off every $100 you spend, now-Sunday. Ì†ºÌøÉÌ†ΩÌ≤®https://t.co/yl1sPvNPru https://t.co/28YPWcyFNA",2016-03-04
"Suspenders are coming back guys... Can you even? https://t.co/MtfWr3ayOJ https://t.co/V4LC9uA8gg",2016-03-04
"Your Spring Break packing list starts with the perfect swimsuit.Ì†ΩÌ±ôÌ†ºÌºähttps://t.co/UVfkEcje81 https://t.co/mswRgextPi",2016-03-03
"Introducing #KrisBryant for #ExpressMen! Friend us on Snapchat to get to know him. https://t.co/TkJzWCazqg",2016-03-03
"#ExpressMen Pro-tip: You don't have to play polo to rock a polo. 
https://t.co/3aIqVaJzE7 https://t.co/ugMdibHYLU",2016-03-02
"Guys, with the new #EXP111 you‚Äôll be feeling as good as you look. More info‚Äôs on the blog. https://t.co/A47DjFfWk5 https://t.co/vt1M5oRT3I",2016-03-02
"A classic for a reason. #TopPinned is our favorite trench!
https://t.co/TuBYM3FSCD https://t.co/ErxeKSMD6z",2016-03-02
"Need some #SpringBreak packing #inspo? We can help. 
https://t.co/Db5vrrXPi6 https://t.co/ZrVdsKgYGl",2016-03-02
"Get ready to meet our new brand ambassador. Friend EXPRESSRUNWAY on Instagram + EXPRESS on Snapchat for clues! ‚öæ https://t.co/BhAZP6WJIg",2016-03-02
"Start your spring training with #EXPCore. #FashionMeetsFitness
https://t.co/24fSxjY2vh https://t.co/XIps3tymxo",2016-03-01
"Smooth vs. Chunky: The debate rages on. #PeanutButterLoversDay",2016-03-01
"We ‚ù§ that culottes are making a major comeback this season!
https://t.co/Mmi3JwKtfN https://t.co/p5NIk4SzOn",2016-03-01
"Who's ready for #MFW? Bring out those spring pops of color.
https://t.co/JjYZohzCFc https://t.co/vmCBGVFCUS",2016-02-29
"We get an extra day this year. Bad news: It's a Monday.",2016-02-29
"Get ready for spring with our best new arrivals.Ì†ΩÌ±óÌ†ºÌº∑‚òÄÔ∏è
https://t.co/QxMPcnYVrK https://t.co/uWAwdUsotb",2016-02-29
"#CurrentMood #Monday
https://t.co/1V9YqU1Ge5 https://t.co/4kont1BL6d",2016-02-29
"Spring do: Fewer layers. More sparkle. #DevonWindsor
https://t.co/afd84Ho6QV https://t.co/iko4FrCCPR",2016-02-28
"Can't decide between pink or patterns? With our mix &amp; match swimwear, you don't have to. Ì†ºÌº¥Ì†ΩÌ±ô
https://t.co/CJ1HJjAO2i https://t.co/mI5aY8RjDl",2016-02-28
"Revamp your spring style with $25 off every $100 you spend now through Sunday!
https://t.co/zOmUsoqhM0 https://t.co/uK9NYKmSOf",2016-02-28
"Saturday night #protip: Dress for thrills.
https://t.co/s6ryBFLmO5 https://t.co/BtMqC2hLcZ",2016-02-27
"Starting the Saturday morning grind with #EXPCore and a #beastmode braid. @amberlfillerup 
https://t.co/8ZADx7C5hU https://t.co/KitTgdLBbS",2016-02-27
"Our spring collection is in! Time to book that flight you've been talking about..‚úà
https://t.co/NTmzIo40D7 https://t.co/eNCIvRznOA",2016-02-26
"Who wants bodysuit styling ideas? Ì†ΩÌπãÌ†ΩÌπã Check out our blog! https://t.co/EbW4i5mLj7 https://t.co/lkTH42KYqV",2016-02-26
"Revamp your spring style  with $25 off every $100 you spend now through Sunday! 
https://t.co/xawMHr7zt4 https://t.co/s88XwvMtfL",2016-02-26
"Add instant edge to that slouchy v-neck with a strappy bralette.
https://t.co/zlR4wC7OTy https://t.co/O6KqfTGnzF",2016-02-26
"After this week, spring break is feeling more like a jail break...",2016-02-25
"#BTS at our shoot with @Poly_Natasha  in #PuertoRico...Needless to say, we miss the beach. ‚òÄÔ∏èÌ†ºÌºä https://t.co/D6bjLFtdIT",2016-02-25
"Ready to test your skills? We're featuring #springbreak games on #Snapchat! Follow EXPRESS to play along. Ì†ºÌº¥ https://t.co/08T7hg8ESS",2016-02-25
"Every fit for every style. Let @DevWindsor help you find your favorite. #ExpressJeans Ì†ΩÌ±ñ
https://t.co/QGTSQ4Uym2 https://t.co/aAWM5GZEfI",2016-02-25
"Laid back style that never disappoints.
https://t.co/wwo2OaXr6u https://t.co/rXI4By8Whm",2016-02-24
"#ExpressSwim 2016 collection is here! Ì†ΩÌ±ô On the blog: How to find the right suit for you. https://t.co/rHrUhQxIxw https://t.co/MmgYgwM5O2",2016-02-24
"Spring break selfies are better in #OneEleven Ì†ΩÌ≥∑
https://t.co/qL9GZHlkOh https://t.co/oysBJtnUKf",2016-02-24
"Our Pinterest fans are clearly feeling the 90s vibe. #TopPinned
https://t.co/4Umqg1zBCB https://t.co/x0PiejPP7U",2016-02-24
"Bring on spring... And boats... And sunsets... and new arrivals. #ExpressLife https://t.co/wdZI1hyriC https://t.co/iuKKkK6l3K",2016-02-24
"A little extra stretch for all your extra moves. #ExpressJeans #Express Men. Ì†ΩÌ±ñhttps://t.co/ZY0WhFn6CP https://t.co/oHXZrXa8tk",2016-02-23
"Our ""wear anywhere"" #Portofino + bold patterns = the best way to refresh your office look. https://t.co/togOJ9LknJ https://t.co/VllF4XdgaW",2016-02-23
"Our spring collection has landed! Follow ExpressRunway on #IG to see why we're in love! https://t.co/I7NUE72YCP",2016-02-23
