"jcrewtext","date","ny_snow","ny_mean_temp","ny_max_temp","ny_min_temp","la_snow","la_mean_temp","la_max_temp","la_min_temp","chi_snow","chi_mean_temp","chi_max_temp","chi_min_temp","hou_snow","hou_mean_temp","hou_max_temp","hou_min_temp","unemployment"
"90 of the softest, brightest, most garment-dyed-est #newarrivals ever https://t.co/n8bYKWzVpT https://t.co/Y9UPJQLlJS",2016-04-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saturdays are for lounging. (Preferably poolside.) https://t.co/kI5SfrqQ4I (cc: @dulci_edge)  #sunnysomewhere https://t.co/4BHnYBrr11",2016-04-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spotted: stripes in the wild. #jcrewalways https://t.co/ZKG3D71bRs",2016-04-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Your wallet, magazines, SPF and water bottle just found a new summer home: our Surfside Tote https://t.co/FD3Tmn5kK6 https://t.co/OCytSARA43",2016-04-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"How to take your stripes to the next level, right this way https://t.co/dVklpmW9J2 #jcrewalways https://t.co/RjG2gDxzWP",2016-04-20,0,59,69,49,0,74,87,60,0,64,73,54,0,71,78,63,NA
"Just in today: 217 new reasons to do some spring-cleaning in your closet https://t.co/annmBLPBKh #newarrivals https://t.co/n04MHldutu",2016-04-19,0,64,73,55,0,76,89,62,0,55,61,48,0,72,79,65,NA
"Get it now: our newest collaboration with @ASICSTigerUSA in two exclusive colorways https://t.co/WYno97eC4O https://t.co/0YCthsXGvV",2016-04-19,0,64,73,55,0,76,89,62,0,55,61,48,0,72,79,65,NA
"LA local Wandie Kabule on the best Ethiopian food and where to watch old kung fu flicks https://t.co/tH4tpGv1JO https://t.co/Uootle627s",2016-04-18,0,67,82,51,0,74,89,59,0,68,83,53,0,67,70,64,NA
"Today’s icebreaker: what’s your favorite thing about spring? We’ll start: showing some ankle again",2016-04-17,0,60,75,44,0,74,89,58,0,66,80,51,0,71,76,65,NA
"Linen: the official fabric of summer—ours comes from Baird McNutt, the best mill in Ireland https://t.co/fSdy3wXHGe https://t.co/8QayBOnOGv",2016-04-17,0,60,75,44,0,74,89,58,0,66,80,51,0,71,76,65,NA
"Our swim collection is for surfing, paddleboarding &amp; lying around doing absolutely nothing https://t.co/Fwz9XXKyti https://t.co/04qDBOSXPq",2016-04-16,0,56,68,43,0,70,82,58,0,63,77,48,0,69,79,59,NA
"Meet our new denim style: the Billie demi-boot crop jean (yes, it makes your tush look good) https://t.co/LacEaXRr02 https://t.co/Fk0niGHKmh",2016-04-15,0,54,65,42,0,70,81,59,0,57,69,45,0,69,79,58,NA
"Our made-in-LA garment-dyed shirts are like snowflakes: No two are the same https://t.co/psKNazBwvB https://t.co/eIYbYPjVWa",2016-04-14,0,53,62,43,0,65,72,57,0,51,61,40,0,68,76,60,NA
"Think you aren’t a chino person? Right this way, please https://t.co/2tQObIURc5 #jcrewalways https://t.co/xjgkodvdfa",2016-04-13,0,49,58,40,0,65,73,57,0,47,57,37,0,67,72,62,NA
"CANNNNONBALLLLL!!! https://t.co/sTEOTOOnwe #crewcuts https://t.co/feQJ5bCx42",2016-04-12,0,52,59,45,0,66,75,56,0,40,46,33,0,71,76,66,NA
"Sooo, what's for lunch today? (There’s only one right answer to this.) #nationalgrilledcheeseday",2016-04-12,0,52,59,45,0,66,75,56,0,40,46,33,0,71,76,66,NA
"2 guys from opposite coasts give us their takes on how to wear (and care for) white sneaks https://t.co/wzlyi8Q8GC https://t.co/uI6Kuf1K3w",2016-04-11,0,54,65,43,0,66,73,59,0,46,52,40,0,73,79,67,NA
"Sunny days are here again https://t.co/blBENNp2u6 #jcrewsunglasses https://t.co/VVQt3udhWz",2016-04-10,0,41,50,31,0,64,70,58,1,43,51,34,0,70,80,60,NA
"Style Guide-regular Lauren Hutton shows us around her Noho neighborhood. https://t.co/US6mPTbJZQ https://t.co/Y0LI4bXgFz",2016-04-09,0,40,43,36,0,62,64,60,1,31,37,24,0,66,78,54,NA
"We asked 4 stylish professionals in LA to demonstrate the new rules of business casual https://t.co/bTka3owfwK https://t.co/uuXzmhhJKG",2016-04-09,0,40,43,36,0,62,64,60,1,31,37,24,0,66,78,54,NA
"Fact: You can never have too many striped tees https://t.co/4OsN5y744Y https://t.co/WZ1dEuUl99",2016-04-08,0,45,50,40,0,60,61,59,1,37,44,29,0,67,82,52,NA
"As the days get lighter, so should your denim https://t.co/eF3K74P8KA #jcrewdenim https://t.co/PAlX80okwu",2016-04-07,0,53,58,48,0,64,69,59,1,39,43,35,0,67,85,49,NA
"In honor of National Tartan Day, here’s a fun fact: Lauren Hutton still wears a plaid shirt from her first J.Crew job in 1991 #jcrewalways",2016-04-06,0,39,48,30,0,74,88,59,0,47,50,43,0,67,79,55,NA
"Free shipping. Free returns. Zero fitting-room mirrors https://t.co/4ZDVgZ64rK #jcrewswim https://t.co/8x70sfKM0D",2016-04-06,0,39,48,30,0,74,88,59,0,47,50,43,0,67,79,55,NA
"Pinch us, please. The stunning @Lupita_Nyongo at ""The Jungle Book"" premiere in J.Crew made exclusively for her https://t.co/JYBwn81gyS",2016-04-05,0,35,43,26,0,71,85,56,0,38,47,29,0,66,81,50,NA
"Our colors will make your crayon box jealous https://t.co/GeEefyxTnx #crewcuts https://t.co/VcRykF5XbE",2016-04-05,0,35,43,26,0,71,85,56,0,38,47,29,0,66,81,50,NA
"Spend less time figuring out what to wear each day, and more time drinking coffee… https://t.co/wG8A0CJFz0 https://t.co/QbzBZw40zY",2016-04-04,1,37,45,29,0,69,80,58,1,35,39,31,0,64,80,48,NA
"You pick the color. They pick the style. Everyone’s happy https://t.co/VDZKP7jita #jcrewwedding https://t.co/SgFf3AMivR",2016-04-03,0,42,50,34,0,68,79,56,0,51,72,29,0,58,74,42,NA
"Celebrating #nationalpbandjday in one of our other all-time favorite combos, jeans and a tee",2016-04-02,0,55,61,49,0,65,76,54,1,36,42,29,0,59,72,46,NA
"Take the water balloons and invisible ink pens elsewhere—this combo is foolproof https://t.co/SqymWMxTin #aprilfools https://t.co/ptySiJS4GK",2016-04-01,0,68,79,56,0,63,72,54,0,44,51,37,0,59,69,48,NA
"You won’t find this vintage Lacoste crocodile anywhere else (unless you have a time machine) https://t.co/lZu4xKWzNH https://t.co/E52EK56Yrv",2016-04-01,0,68,79,56,0,63,72,54,0,44,51,37,0,59,69,48,NA
"One style of swim short just won’t work for everyone. That’s why we offer 3 unique fits https://t.co/x2EF0X0n8y https://t.co/X2Jl0w1KlU",2016-03-31,0,61,73,49,0,61,72,50,0,58,70,45,0,75,85,65,5
"Stop by your crewcuts store on Saturday, April 2nd,  for our special kids’ storytime event: https://t.co/mXHZg69ScD https://t.co/UtC1a5WQck",2016-03-30,0,42,55,30,0,59,66,52,0,54,62,46,0,72,75,68,5
"New arrivals!!!!! And yes, they’re good enough to warrant 5 exclamation points https://t.co/g9w36mOOCL https://t.co/D6yGnDmBV7",2016-03-30,0,42,55,30,0,59,66,52,0,54,62,46,0,72,75,68,5
"We’re calling it: gingham is spring’s MVP—as in, most valuable pattern.",2016-03-29,0,47,53,40,0,56,64,48,0,48,60,35,0,65,71,59,5
"How’d we get these tees so crazy colorful? Magic. Nah, we just dyed them specially in LA. https://t.co/m2CVKMydyi https://t.co/fTv05Kst0F",2016-03-29,0,47,53,40,0,56,64,48,0,48,60,35,0,65,71,59,5
"A look at gingham’s, ahem, checkered past (with Brigitte Bardot, our first catalog and more) https://t.co/FeBKN1bQSU https://t.co/yzpaMwiop3",2016-03-28,0,52,62,42,0,60,66,54,0,46,53,39,0,62,75,49,5
"For kicks that match everything, stick with designs on the quiet side of the color wheel https://t.co/jXxn85wPVs https://t.co/Vv6fnI35uf",2016-03-27,0,49,55,43,0,67,74,59,0,54,66,42,0,67,77,57,5
"The Breton stripe originated 158 years ago &amp; it’s still going strong. Believe that’s what you call timeless https://t.co/637DpJa1Be",2016-03-27,0,49,55,43,0,67,74,59,0,54,66,42,0,67,77,57,5
"Get inspired by the latest brides and grooms who said “I do” in J.Crew https://t.co/L5ockMlQSL #jcrewwedding https://t.co/NgqutDiSCy",2016-03-26,0,45,51,39,0,68,77,59,0,45,55,35,0,61,75,46,5
"Let's face it, nobody works stripes quite like an NCAA ref #marchmadness",2016-03-24,0,50,55,44,0,68,81,55,1,36,40,31,0,60,69,51,5
"All the comfort of a sweatshirt with the clean look of a sweater. https://t.co/gbs4Xur97S https://t.co/byHuxUgMUU",2016-03-24,0,50,55,44,0,68,81,55,1,36,40,31,0,60,69,51,5
"Today’s ice breaker: what’s your favorite kind of puppy? We’ll start: all of them #nationalpuppyday",2016-03-23,0,60,71,48,0,65,77,52,0,43,47,39,0,70,76,63,5
"Design writer and editor, Tom Morris, on the resurgence of the geometric style https://t.co/MalPRYzx5G https://t.co/HQl0bS5jxR",2016-03-23,0,60,71,48,0,65,77,52,0,43,47,39,0,70,76,63,5
"When it comes to stripes, “too many” isn’t really in our vocabulary #jcrewalways",2016-03-23,0,60,71,48,0,65,77,52,0,43,47,39,0,70,76,63,5
".@Violetgrey’s @christinathehan on her top beauty tips, and NYC vs. LA https://t.co/ipjKwkv9xj https://t.co/nUTem6OoBl",2016-03-21,1,41,50,32,0,62,66,57,0,41,50,32,0,49,63,34,5
"Our famous Ludlow suits are now even cooler thanks to lightweight Italian fabrics https://t.co/P9SwAZ6S8s https://t.co/K2VdbxvkaV",2016-03-20,1,38,43,32,0,65,72,57,0,39,45,33,0,52,61,43,5
"Ignore the weather, today really is the first day of spring",2016-03-20,1,38,43,32,0,65,72,57,0,39,45,33,0,52,61,43,5
"When it’s 30 degrees one day and 60 the next, a blazer is your best friend https://t.co/LEekMra9kw #jcrewalways https://t.co/1PxCeDG47D",2016-03-19,0,41,46,36,0,62,66,57,0,42,47,36,0,60,69,50,5
"Our favorite shades of green: fresh parsley, Spanish moss, neon seamist, vivid lime…  #stpatricksday",2016-03-17,0,54,63,45,0,70,81,59,0,51,58,43,0,71,80,62,5
"Dresses so cute, adults are all “I wish these came in my size” https://t.co/RqUlmzv8yd #crewcuts https://t.co/6hcyemAgHx",2016-03-17,0,54,63,45,0,70,81,59,0,51,58,43,0,71,80,62,5
"Meet Iris Apfel, one of J.Crew’s (and Jenna’s) absolute favorite human beings https://t.co/aY5h7fFmiz #WCW https://t.co/t1XRamEOdB",2016-03-16,0,54,69,43,0,72,87,57,0,53,59,47,0,71,78,63,5
"3 ingredients for spring looks: stripes, scallops and gingham https://t.co/aGFCnVJOH8 #jcrewalways https://t.co/oETHcABQF2",2016-03-16,0,54,69,43,0,72,87,57,0,53,59,47,0,71,78,63,5
"71 #newarrivals featuring CRITTERS! (We’re crazy for the little guys) https://t.co/H3l5IG8YBl https://t.co/sWRaCllxGs",2016-03-15,0,51,57,44,0,65,77,53,0,56,64,47,0,74,84,64,5
"Your job involves a lot of hard decisions. What to wear shouldn’t be one of them https://t.co/kcFUgZyTuV https://t.co/Xb24Bt44EC",2016-03-14,0,46,51,40,0,64,70,58,0,49,54,43,0,72,87,56,5
"We’re pretty sure sequins are good luck https://t.co/ug2CZN63Oc #jcrewwedding https://t.co/sGOh1VNniO",2016-03-13,0,56,62,50,0,61,68,53,0,47,50,43,0,69,82,56,5
"How to do the glowy skin, high braid and bold red lip from our New York Fashion Week show https://t.co/7viLykytRL https://t.co/sudhbbbu8T",2016-03-13,0,56,62,50,0,61,68,53,0,47,50,43,0,69,82,56,5
"Grab our new collaboration, the @NewBalance 997 Butterscotch, now: https://t.co/fvEnf3DSK0 #jcrewxnb #jcrewkicks https://t.co/DFkgVlvixm",2016-03-12,0,49,59,39,0,57,66,47,0,49,60,38,0,68,75,60,5
"We stopped by Miscelanea, to check out the Mexico City treats with owner Guillaume Guevara https://t.co/gze3O1VGCk https://t.co/iph9J3SVCc",2016-03-11,0,56,66,46,0,61,69,52,0,45,53,37,0,69,74,63,5
"Made in America: the limited @NewBalance 997 Butterscotch. Read more: https://t.co/6G4OHpD0u2 #jcrewxnb #jcrewkicks
https://t.co/mGL54k7k1P",2016-03-11,0,56,66,46,0,61,69,52,0,45,53,37,0,69,74,63,5
"What’s navy and white and adorable all over? These #newarrivals https://t.co/HXnfAdnXH0 https://t.co/QmGXGuc4K6",2016-03-11,0,56,66,46,0,61,69,52,0,45,53,37,0,69,74,63,5
"Now that that’s over (puts away parka, gets out denim jacket)",2016-03-10,0,71,79,63,0,66,77,54,0,47,53,41,0,70,76,63,5
"We visited Baird McNutt to see how this Irish mill produces the world's best linen https://t.co/mPPjO5lS6e https://t.co/CWUKWoDSoX",2016-03-09,0,60,78,41,0,64,74,53,0,59,65,53,0,67,73,61,5
"Band collars and lightweight blazers—it’s time to hit refresh on your wardrobe https://t.co/K3zBljJPwc #newarrivals https://t.co/nTgk6GNET4",2016-03-09,0,60,78,41,0,64,74,53,0,59,65,53,0,67,73,61,5
"Ordering it iced this morning #signsofspring",2016-03-09,0,60,78,41,0,64,74,53,0,59,65,53,0,67,73,61,5
"You might want to sit down for this: Over 140 new arrivals are here https://t.co/myfwk97D81 https://t.co/RPzo4mC6RQ",2016-03-08,0,54,64,44,0,61,72,49,0,66,73,58,0,70,72,67,5
"Dropping March 12: our first-ever collaboration on the @NewBalance 997 https://t.co/dkPew4kMj4 #jcrewxnb #jcrewkicks
https://t.co/lVCKNrAJde",2016-03-08,0,54,64,44,0,61,72,49,0,66,73,58,0,70,72,67,5
"Our made-in-LA tees are garment-dyed, so each one is unique (just like you) https://t.co/ZStNixnuVD https://t.co/HIOT5MLF2P",2016-03-07,0,46,61,32,0,54,61,47,0,55,62,47,0,69,75,62,5
"Nas Abraham, art director of @TheSAMSONMag, shares his favorite spots in London https://t.co/sBMH4aUrFb https://t.co/Gw21kS3F61",2016-03-05,0,35,41,28,0,63,67,59,1,35,40,29,0,62,76,47,5
"Naming colors, sourcing beads and yup—making photocopies. Tune in to the @TODAYshow at 8:30am to see a day in the life of a J.Crew intern.",2016-03-05,0,35,41,28,0,63,67,59,1,35,40,29,0,62,76,47,5
"If you’ve ever wanted to go inside our offices, now’s your chance. Tune in to the @TODAYshow tomorrow at 8:30am",2016-03-05,0,35,41,28,0,63,67,59,1,35,40,29,0,62,76,47,5
"Our women’s designer Julie takes our 10 percent cashmere tee out for a #testdrive https://t.co/ixOtNi1fpT https://t.co/i1S8EYBege",2016-03-04,1,35,39,30,0,64,70,57,1,31,39,23,0,61,74,48,5
"Our favorite pick-me-ups: strong coffee and bright colors https://t.co/xWv8SEwhyg #jcrewalways https://t.co/rt7tWLcS9z",2016-03-04,1,35,39,30,0,64,70,57,1,31,39,23,0,61,74,48,5
"The @SeaVees for J.Crew Legend sneakers. Looks like it's all right there in the name https://t.co/gcornZWTo0 https://t.co/crAkQdzGzH",2016-03-03,0,31,36,26,0,64,74,54,1,31,33,29,0,73,84,61,5
"A statement necklace: the ! on an outfit https://t.co/lBKvOLvPc8 https://t.co/OaEHBCyJRF",2016-03-03,0,31,36,26,0,64,74,54,1,31,33,29,0,73,84,61,5
"Sweater season just got a lot softer. Like, Italian cashmere soft https://t.co/Vbe0SStBXF https://t.co/2ndeDzGSSs",2016-03-02,0,42,55,29,0,63,73,52,1,24,33,14,0,60,70,49,5
"Our goal for spring holidays: fancy, not fidgety https://t.co/fsl4a65J2j #crewcuts https://t.co/tbQ9hvPUy5",2016-03-01,0,46,52,39,0,66,76,56,1,27,33,20,0,70,78,62,5
"Jenna and our women’s designer Somsack share their favorite moments from #jcrewnyfw https://t.co/oV8xkg0Cxv https://t.co/sem7j5EReg",2016-03-01,0,46,52,39,0,66,76,56,1,27,33,20,0,70,78,62,5
"Soooo…what’s everybody gonna do with their extra day this year? #leapyear",2016-02-29,0,54,61,47,0,65,74,56,0,43,55,30,0,67,78,55,4.9
"Looks that—no joke—will get you excited for work https://t.co/OrTod4016X https://t.co/6p6hNkH8CL",2016-02-29,0,54,61,47,0,65,74,56,0,43,55,30,0,67,78,55,4.9
"Finally that “always a bridesmaid” thing is working in your favor https://t.co/g0KSeYNZ8p #jcrewwedding https://t.co/7QYeCLgSF0",2016-02-28,0,49,60,38,0,60,68,53,0,51,64,38,0,59,74,44,4.9
"Because going on vacation is their favorite thing, like, EVER! https://t.co/1GL9WhtSBN #crewcuts https://t.co/aOMu3cspKp",2016-02-27,0,35,42,28,0,64,74,53,0,42,55,28,0,56,71,40,4.9
"Frank, our men’s designer, breaks down the key pieces from our #jcrewnyfw fall presentation https://t.co/njYL8Ps3EW https://t.co/ryw1P9KZ23",2016-02-26,0,33,39,27,0,67,79,54,1,32,35,28,0,51,63,39,4.9
"Wide-leg pants, a new spin on stripes and everything else we’re excited to wear this spring https://t.co/bFKve4tIv7 https://t.co/OVN8FzmpRr",2016-02-26,0,33,39,27,0,67,79,54,1,32,35,28,0,51,63,39,4.9
"London-based art consultant Hikara Yokoyama shares some favorite local spots https://t.co/7CY7v2SsYf https://t.co/m01YFMFvkE",2016-02-25,0,49,61,37,0,70,83,57,1,35,38,32,0,56,72,40,4.9
"We spent a lot of time perfecting our denim washes so you could get that “old favorite” look https://t.co/DPDQduFqBN https://t.co/U7ppQmtduS",2016-02-25,0,49,61,37,0,70,83,57,1,35,38,32,0,56,72,40,4.9
"Designer @MarysiaSwim invites us into her LA studio, &amp; opens up about her cult swimwear line https://t.co/dOAz1MJB1d https://t.co/liCKVD6Hmn",2016-02-24,0,48,60,36,0,70,81,58,1,36,39,32,0,52,63,41,4.9
"Go behind-the-scenes at our March Style Guide shoot, in Mexico City and Tulum https://t.co/3JHPYoVZ69 https://t.co/uxq1GBAvNt",2016-02-23,0,38,40,35,0,69,83,55,0,39,46,31,0,61,73,48,4.9
"Because everybody needs an amazing black pant… https://t.co/DL5OsiMX2w https://t.co/AvZqdmrFKd",2016-02-23,0,38,40,35,0,69,83,55,0,39,46,31,0,61,73,48,4.9
"Today's icebreaker: What’s everybody’s favorite color? We’ll go first: neon dahlia, tuscan olive, heather tigerlily…",2016-02-22,0,45,52,38,0,65,78,51,0,37,45,28,0,63,68,57,4.9
"How to dress down a suit… https://t.co/9Uk35rBhXX https://t.co/hNqgz43IL6",2016-02-21,0,50,55,44,0,62,73,50,0,40,44,35,0,69,74,63,4.9
"67 #newarrivals? Hip! Hip! Hooray! https://t.co/F2sWGmAH0l https://t.co/FKoROlRsf7",2016-02-20,0,50,61,39,0,61,72,50,0,51,60,42,0,71,79,63,4.9
"Looking for some big-day inspiration? Look no further https://t.co/JulTW6fBkJ #jcrewwedding https://t.co/IlQemMbypT",2016-02-19,0,32,39,24,0,60,69,51,0,54,65,42,0,72,81,63,4.9
"Listen up: our #jcrewnyfw playlist is here (and it’s got a little something for everybody) https://t.co/07LUFLZGLm",2016-02-19,0,32,39,24,0,60,69,51,0,54,65,42,0,72,81,63,4.9
"Shades, polos and white jeans? Our #newarrivals are ready for warmer weather too https://t.co/000MZ3IiOy https://t.co/mn7IYBcMTa",2016-02-18,0,32,36,27,0,62,68,56,0,34,42,26,0,60,77,42,4.9
"Things are looking up: #newarrivals are here https://t.co/cPg1ColFpo https://t.co/yY3fwWOb4J",2016-02-17,0,37,39,35,0,66,76,55,0,32,36,27,0,60,73,47,4.9
"Topcoats. Shawl-collar tuxes. Wing tips. Maybe your grandpa wasn’t so crazy after all #jcrewalways",2016-02-16,0,45,54,35,0,74,90,58,1,32,37,26,0,60,79,41,4.9
"Flowers for you, Collection by J.Crew https://t.co/Dox3cLY38L https://t.co/XPzlm3UQO3",2016-02-16,0,45,54,35,0,74,90,58,1,32,37,26,0,60,79,41,4.9
"Ever wanted an Italian cashmere sweater so light you could wear it like a T-shirt? Us too https://t.co/seOeueMLvF https://t.co/iyZZjBVzPk",2016-02-15,1,24,35,13,0,72,89,55,1,24,29,19,0,61,76,46,4.9
"Xoxo #valentinesday",2016-02-15,1,24,35,13,0,72,89,55,1,24,29,19,0,61,76,46,4.9
"Scenes from #jcrewnyfw. https://t.co/eKxlBWAkhP",2016-02-15,1,24,35,13,0,72,89,55,1,24,29,19,0,61,76,46,4.9
"Showtime. #jcrewnyfw https://t.co/ss04yk7US2",2016-02-14,0,7,15,-1,0,64,79,48,1,16,19,13,0,66,74,57,4.9
"Mophie on. Artisanal Flat white in hand. NYFW, let's do this #jcrewnyfw",2016-02-14,0,7,15,-1,0,64,79,48,1,16,19,13,0,66,74,57,4.9
"#jcrewnyfw countdown https://t.co/WS3bz9mg28",2016-02-14,0,7,15,-1,0,64,79,48,1,16,19,13,0,66,74,57,4.9
"Whether your jam is pop or punk, we've got you covered. Our #valentinesday @spotify playlist: https://t.co/782T4ALmrp",2016-02-13,0,14,22,6,0,63,75,51,0,12,19,4,0,59,67,51,4.9
"Touches of texture. Stay tuned for more moments from our #jcrewnyfw presentation in the days ahead... https://t.co/3iTJgJc3uZ",2016-02-13,0,14,22,6,0,63,75,51,0,12,19,4,0,59,67,51,4.9
"Bikinis, cover-ups &amp; lots more reasons to book that plane ticket... https://t.co/7cBmoLUxvE https://t.co/caEXf4kPfm",2016-02-13,0,14,22,6,0,63,75,51,0,12,19,4,0,59,67,51,4.9
"Counting down, t-minus two days til our #jcrewnyfw presentation https://t.co/YvhHxwAX5O",2016-02-13,0,14,22,6,0,63,75,51,0,12,19,4,0,59,67,51,4.9
"How to make a better Valentine’s Day card, according to a few of our favorite artists. https://t.co/lrGlnxPwHT https://t.co/KCrNOk1cit",2016-02-12,0,21,27,15,0,71,85,56,1,17,25,9,0,67,78,55,4.9
"Layer up. (There are more sneak peeks from our fall/winter 2016 presentation coming...) #jcrewnyfw https://t.co/4At715aBAb",2016-02-12,0,21,27,15,0,71,85,56,1,17,25,9,0,67,78,55,4.9
"Because no one does a super colorful, Made in LA tee quite like we do (there, we said it) https://t.co/lcL2uQLkbL https://t.co/Ngnxr42ncX",2016-02-12,0,21,27,15,0,71,85,56,1,17,25,9,0,67,78,55,4.9
"Drake's creative director on how to balance tradition with innovation &amp; embrace your style https://t.co/37bxLVbhCO https://t.co/RbOL3G00mh",2016-02-11,1,25,31,18,0,73,87,59,0,17,24,9,0,68,80,55,4.9
"Dear Italy, thank you for spaghetti, and our very colorful cashmere. Love, J.Crew https://t.co/UliPXXMq0L https://t.co/d7K9zGq9rJ",2016-02-11,1,25,31,18,0,73,87,59,0,17,24,9,0,68,80,55,4.9
"A seriously delicious blueberry scone recipe from @violetcakes Claire Ptak… https://t.co/pd7uv2ZYUP https://t.co/HLGLFQxqGQ",2016-02-10,1,35,39,31,0,75,88,61,1,15,19,11,0,55,71,38,4.9
"Japanese fabric, hand-developed washes and perfected fits https://t.co/z3mrWMzT0L #jcrewdenim https://t.co/n755iPbTbz",2016-02-10,1,35,39,31,0,75,88,61,1,15,19,11,0,55,71,38,4.9
"You asked for them, so here they are: Meet Irving, Sam &amp; Jack https://t.co/fNJIYRy8to #jcrewsunglasses https://t.co/cCk1NHcCiL",2016-02-09,0,32,36,27,0,73,89,56,1,19,23,15,0,53,66,39,4.9
"What’s soft and stretchy and comfy all over? https://t.co/vtZrhWYS9P #crewcuts https://t.co/dsa8OLLNlg",2016-02-09,0,32,36,27,0,73,89,56,1,19,23,15,0,53,66,39,4.9
"Introducing Sunglasses by J.Crew. Meet our new styles (&amp; the people who helped create them) https://t.co/nqlXnxoXZ3 https://t.co/W5MUEIt3YS",2016-02-08,1,34,39,28,0,71,88,53,1,29,34,23,0,54,63,44,4.9
"Outfits that make “going home to change” a thing of the past https://t.co/oFEPhg8mY0 https://t.co/kGWPjphX4z",2016-02-08,1,34,39,28,0,71,88,53,1,29,34,23,0,54,63,44,4.9
"When your bridesmaids say “I’d totally wear this again!” they actually mean it https://t.co/uB7XMjTYRx #jcrewwedding https://t.co/TaUBVCEw0D",2016-02-07,0,40,47,33,0,68,84,51,0,40,46,34,0,50,66,34,4.9
"Oh, is there football on today?",2016-02-07,0,40,47,33,0,68,84,51,0,40,46,34,0,50,66,34,4.9
"Spend a Sunday with the editor in chief of @bonappetit, Adam Rapoport, and his son, Marlon https://t.co/IsMwseV5FW https://t.co/VbWanQL6gD",2016-02-07,0,40,47,33,0,68,84,51,0,40,46,34,0,50,66,34,4.9
"New #shinyponies. That is all https://t.co/x58oby6GJ2 https://t.co/dQ8lRvFQKu",2016-02-06,0,34,39,30,0,64,77,50,0,34,42,27,0,51,60,41,4.9
"Frames that boost your confidence and make you look good https://t.co/9phq4PDlXE #jcrewsunglasses https://t.co/LRcqXQFI8R",2016-02-05,1,38,44,31,0,61,76,46,1,31,34,27,0,46,59,33,4.9
"“Let’s not do gifts for Valentines Day” is a trick. This way to our shop: https://t.co/iz3PXPze1C #valentinesday https://t.co/1HMQKrGWC5",2016-02-05,1,38,44,31,0,61,76,46,1,31,34,27,0,46,59,33,4.9
"“Garment-dyed” is a fancy term for “has that cool vintage look without the thrift shop funk” https://t.co/TpnwNa9nqz https://t.co/oR2TnanL8v",2016-02-04,0,52,59,44,0,58,70,46,1,27,32,21,0,49,59,38,4.9
"Sometimes a statement necklace is all you need to say #jcrewalways",2016-02-04,0,52,59,44,0,58,70,46,1,27,32,21,0,49,59,38,4.9
