"lofttext","date"
"@lindseynhaase Thanks for the compliment‚Ä¶we are happy you like our Marketing!",2016-04-05
"@jazue Great to hear the compliment with our LOFT packaging!",2016-04-05
"That's a wrap! #mondays #loveloft https://t.co/eIoyr2Ltr9",2016-04-05
"@FannyFox11 Sorry to hear and we will share. Please contact us at LOFTFacebook@anninc.com for further follow up.",2016-04-04
"@NaveenRehman1 We will share your feedback regarding our shipping fees.",2016-04-04
"@mzerby Thanks for sharing your LOFT favorites!",2016-04-04
"@Jessica_Mae321 Sorry to hear Jessica. We will share your concerns.",2016-04-04
"@KelBurge Looks great! Thanks for sharing!",2016-04-04
"@joannechaewon Thanks for sharing your love of LOFT!",2016-04-04
"@EleashaGamble Yes, unless it is swimwear, you can return any https://t.co/s8ayKv1S0W purchases in stores.",2016-04-04
"@megsachdev Sorry, if you would like to discuss further, please connect with us via LOFTFacebook@anninc.com.",2016-04-04
"The embroidery on this cami Ì†ΩÌπå. #loveloft https://t.co/4eHPwonXWI",2016-04-02
"Do you know an everyday hero changing the lives of others? Nominate them for the chance to win $100,000 https://t.co/N89e19YRQ5 #JaffeAwards",2016-04-01
"Hope your #AprilFoolsDay is extra sweet Ì†ΩÌ∏â. #loveloft https://t.co/kc4lpqri3V",2016-04-01
"Is it summer yet? #Ì†ΩÌ±ô #loveloft https://t.co/THGA2QbsIk",2016-03-31
"Ivories, tans and taupes are the prettiest and chicest essentials for your spring wardrobe. https://t.co/tE0GUlIBnF https://t.co/uYTdubknQo",2016-03-31
"@Manisha1 Sorry to hear that your merchandise arrived in unacceptable condition! Please call 1 888 LOFT 444 so we can assist further!",2016-03-31
"Have you shopped our spring favorites yet? Get 50% off: https://t.co/aHmmbzfqeD",2016-03-30
"Nothing says spring like crisp eyelet. #eyelet #loveloft https://t.co/b5DwC0wKvm",2016-03-30
"There's always a time and place for lace--even at the office. https://t.co/SI2JMWe1mW https://t.co/hUwejxzAi3",2016-03-30
"@teamhelen So sorry to hear this! Please contact 1 888 LOFT 444 and an associate would be happy to assist with unsubscribing to our emails.",2016-03-30
"@kristenfinelli So sorry! An item may be removed from your cart because it sold out through our Online Store. Your feedback will be shared!",2016-03-30
"@jamiekCNN So sorry to hear that! We would advise taking the item and receipt to your local store for return/exchange options.",2016-03-30
"There's a reason why we are best buds. Shop 50% off of our spring favorites: https://t.co/aHmmbzfqeD",2016-03-29
"The perfect mix of florals and stripes. #springblooms #loveloft https://t.co/pyiVGFqqI2",2016-03-29
"This compliment-collecting little jacket goes from Mon-Sun with ease. Shop now: https://t.co/a3OaIhsl7Z https://t.co/SHVYR6FlDv",2016-03-29
"You still have time to shop our biggest sale of the year. https://t.co/rzW8F1XfUO",2016-03-29
"Take your accessory game to the next level. P.S. All orders ship for free today on https://t.co/s8ayKuKgCm Ì†ΩÌπå.‚Ä¶ https://t.co/l5IV0I9wub",2016-03-28
"Get free shipping (and 40% off) on all online orders today using code SHIP40 at checkout: https://t.co/hGHab33ylw https://t.co/Dld8O0cvpe",2016-03-28
"Monday blues? We have the cure. All orders ship for free
today on https://t.co/s8ayKuKgCm (click the link in‚Ä¶ https://t.co/rcMSohtFc7",2016-03-28
"Spread your wings and shop our biggest sale of the year. https://t.co/epdpWdZ6ZY https://t.co/nxM8jYLlX9",2016-03-28
"It's our biggest sale of the year... Free shipping and 40% off everything. Shop Cyber Spring at LOFT. https://t.co/0q932FVJHn",2016-03-28
"Happy Easter! #Ì†ΩÌ∞£ #peeps #loveloft https://t.co/CiWlazre0m",2016-03-27
"Lovely in lace darylanndenner. #regram #loveloft https://t.co/ibtvCbx7cS",2016-03-27
"Top off your spring look. #loveloft https://t.co/5I3mBp6TpW",2016-03-25
"A special spring bouquet in honor of #nationalpuppyday Ì†ΩÌ∞∂Ì†ºÌºº. #loveloft https://t.co/2hm8pZ2It6",2016-03-24
"Enjoying every last minute of this day. #springhassprung #loveloft https://t.co/zjRigSsUfx",2016-03-23
"Wear it on or off your shoulders Ì†ΩÌπå. #loveloft https://t.co/uLgkZA5tCB",2016-03-23
"Spring is here and our fav comedienne busyphilipps is pretty excited about it. Click the link in‚Ä¶ https://t.co/HgHf6F0H9y",2016-03-22
"Take it from @Busyphilipps25-- cleaning out your closet it tough (but it makes room for new stuff)! Shop her picks: https://t.co/ZzbSYcQepr",2016-03-21
"Dreaming of outfit add-ons. #loveloft https://t.co/kqDVgBherS",2016-03-21
"Warm weather vibes. #loveloft https://t.co/DKVAtMbXmo",2016-03-20
"Just the essentials. Shop everything you need for spring: https://t.co/5vcwo5m15G https://t.co/3umBo2TcMn",2016-03-19
"Anybody else ready for the weekend? #tgif #loveloft https://t.co/MtEyHBoBVz",2016-03-18
"Our latest video collab w/ @Busyphilipps25 is getting us through the afternoon. Don't miss it: https://t.co/msCPFMJFOn #tgif #verybusyspring",2016-03-18
"S-P-R-I-N-G. Shop New Arrivals: https://t.co/qBVuDkO6Gt https://t.co/CZDSawV3ja",2016-03-18
"We're welcoming spring with another video from our favorite funny lady, busyphilipps. Click the‚Ä¶ https://t.co/ub7ppelJNK",2016-03-17
"We're welcoming spring with another video from our favorite funny lady, @Busyphilipps25. #verybusyspring
https://t.co/3l0cYphrrC",2016-03-17
"Social calendar, filled. Closet, ditto. Shop $25 off dresses, skirts and cardigans: https://t.co/iEW10TQDZN https://t.co/m50m1H6GAh",2016-03-16
"We're dress obsessed. #Ì†ΩÌ±ó #loveloft https://t.co/IIrQzSTJUL",2016-03-16
"The shoes you've been waiting for? They're finally here. Shop Now: https://t.co/Mc6pzwTo7O https://t.co/EQ3Ob2fY53",2016-03-16
"They've arrived Ì†ΩÌ∏ç. #loveloft https://t.co/QQLVuYesc2",2016-03-16
"Thanks, #PiDay. Don't mind if we do Ì†ΩÌ∏â. #nationalpiday #loveloft https://t.co/jsTvtwNGp8",2016-03-15
"Behind the scenes from our March Monthly Edit Ì†ΩÌ±Ø. Click the link in our profile to check it out.‚Ä¶ https://t.co/6SP5GsVak1",2016-03-14
"@B_Keps Sorry, we would kindly request you email us at LOFTFacebook@anninc.com. We need more information to research. Thanks!",2016-03-14
"@goodredherring Sorry to hear. Please contact us at LOFTFacebook@anninc.com: for further assistance.",2016-03-14
"@blair_m We no longer carry the Zoe fit; however, please check out https://t.co/s8ayKv1S0W for our other pant options!",2016-03-14
"@frenchluna We do offer free shipping at times but apologize for any disappointment. We will share your feedback.",2016-03-14
"@B_Keps Sorry for any delay; however, we have not received an email. Please contact us at LOFTFacebook@anninc.com to further review.",2016-03-14
"@michellerose7 Sorry for any delay. Please contact us at LOFTFacebook@anninc.com so we can follow up with you directly.",2016-03-14
"Spring Forward (verb): To lose one hour of sleep. #daylightsavings #loveloft https://t.co/QJvhNryOMN",2016-03-13
"Last day to enjoy an extra 20% off when you open + use your LOVELOFT Card (in stores only). Find your local LOFT: https://t.co/LCrapFlq7V",2016-03-13
"Major pattern play. #loveloft https://t.co/jztTsqIHWe",2016-03-13
"You can always depend on this classic color for any style situation. Shop Forever Navy: https://t.co/wpsKeOmR6B https://t.co/AP0fhpA7sM",2016-03-12
"Decisions, decisions. #tgif #loveloft https://t.co/s7DBLaFjxS",2016-03-12
"Design a future that fits you perfectly. Learn more about our ANN INC. summer internship opportunities: https://t.co/kf4ct55deR",2016-03-11
"This weekend in stores only... Enjoy an extra 20% off when you open + use your LOVELOFT Card. https://t.co/3jCNBcX85F",2016-03-11
"We've caught spring fever (and are accessorizing accordingly). #loveloft https://t.co/LFn5kXMLvk",2016-03-10
"Now-Sunday: Enjoy an extra 20% off when you open + use your LOVELOFT Card (in stores only). https://t.co/oUcdNoRwET https://t.co/AUWBBslPfL",2016-03-10
"Get your daily serving of savings. Get 40% off our freshest style: https://t.co/04pkZpISTJ https://t.co/SIzATwdhyL",2016-03-10
"@Inspiralized Yes, please visit our Return practice online at https://t.co/s8ayKv1S0W.",2016-03-10
"@sarah_bsb So glad to hear Sarah! We love the LOFT Spring Collection too!",2016-03-10
"@B_Keps Please contact us at LOFTFacebook@anninc.com so we may follow up. Thanks.",2016-03-10
"@sylvkij Please contact us at 1 888 LOFT 444 for assistance. Thanks.",2016-03-10
"@emilybellgeiss Great to hear the positive! We will make sure to share your compliment with the store team!",2016-03-10
"Serious cabana vibes from @nanysklozet in our Reversible Bikini. #‚õ± #loft https://t.co/gfM2vXQpX5",2016-03-10
"@KatieChinlund Sorry Katie, we will share your concerns.",2016-03-09
"@SamanthaBNYC Samantha, we will have someone reach out to you!",2016-03-09
"@UnitedAmanda Sorry to hear. If we can help at all, please contact clientservices@LOFT.com.",2016-03-09
"Proof that shorts can be chic (and pretty fun). https://t.co/FuAmPHWxNj https://t.co/lKLdgN3793",2016-03-09
"@itsmaresbears So glad we could accommodate! We will make sure to share!",2016-03-09
"@Briterati Sorry for the disappointment. We will share your concerns. Please check back for other items!",2016-03-09
"@linnylaf Please contact us at clientservices@LOFT.com for assistance.",2016-03-09
"@LTquatro You are correct, the offer is combinable with other Full priced offers, not non full priced items.",2016-03-09
"We can't wait for shorts season ‚òÄÔ∏è. #loveloft https://t.co/liOWBS3IiU",2016-03-08
"While you wait for shorts season to arrive... Shop $20 off pants + jeans: https://t.co/peopG5njN2",2016-03-08
"@Shawnie_215 Thanks for sharing! We are glad to hear you are loving LOFT!",2016-03-08
"@StarrC17 You deserve to treat yourself!",2016-03-08
"@KuteKurvy Looks great!",2016-03-08
"@AmourLrn If you are still having problems, please contact us at LOFTFacebook@anninc.com",2016-03-08
"@bamber7 We accept returns within 45 days of purchase for full price with verification of purchase.",2016-03-08
"@thestarandsea So pleased to hear you love Lou&amp;Grey like we do!",2016-03-08
"@_mickeymichelle Sorry, if possible try an alternative address or check with your post office.",2016-03-08
"@RhondaBentz We will share your concerns. Sorry!",2016-03-08
"@LTquatro Sorry to hear. The Teacher discount is cannot be combined with other full priced offers. We will share your concerns.",2016-03-08
"@YoyotheGiant Thanks for notifying us. This is being corrected. If we can help contact us at LOFTFacebook@anninc.com.",2016-03-08
"@yasminejandali Please visit https://t.co/s8ayKv1S0W ResponsiblyAnn site for details.",2016-03-08
"@SaraLang Sorry to hear Sara. If you want to tell us more, please contact us at LOFTFacebook@anninc.com",2016-03-08
"Florals + Stripes: Best buds forever. Shop 30% off everything during First Look: https://t.co/kjJfGfMiZJ https://t.co/UMFGC5VqiL",2016-03-04
"@lizthompp If you have any questions regarding our Cash Cards, please call 1 888 LOFT 444 and an associate would be happy to help!",2016-03-04
"@nylitgirl Sorry to hear of any concerns with our merchandise! Please visit https://t.co/s8ayKv1S0W or call us for potential return options.",2016-03-04
"@___ayyaaa We do run promotions that are valid in the US and Canada; however, we will be sure to share your feedback internally!",2016-03-04
"Seeing @grasiemercedes in our Daiquiri One Piece has us longing for ‚òÄÔ∏è and ‚õ±. #loveloft https://t.co/BMJaM7KFR6",2016-03-04
"@kristajulian So sorry to hear about your experience! If you would like to connect further, please email us at LOFTFacebook@anninc.com.",2016-03-03
"@True2urSoul So sorry for any inconvenience this may have caused. The concern has since been resolved and we appreciate your patience!",2016-03-03
"@cstat13 So sorry for any inconvenience this may have caused. The concern has since been resolved and we appreciate your patience!",2016-03-03
"Can't get enough of these striped sneakers. #loveloft https://t.co/OhK8RSCInF",2016-03-02
"Need now styles (jeans, pants, tops, sweaters) starting at $18. Shop now: https://t.co/UBsbsVX7aq",2016-03-02
"Graphic or classic, match your skirt to your mood. Shop now: https://t.co/ykPCi551Mq https://t.co/m9Yq5gSyVT",2016-03-02
"@bbllpp Sorry to hear of any disappointment. Please email us specifics at LOFTFacebook@anninc.com.",2016-03-02
"Our just-right, work-or-weekend, brunch-or-dinner, anytime dress. #loveloft https://t.co/nVt5e30irK",2016-03-01
"@KDallaba So sorry to hear that! Please email us at LOFTFacebook@anninc.com with details surrounding your concern and we will follow up!",2016-03-01
"Need now styles (jeans, pants, tops, sweaters) starting at $18. Shop now: https://t.co/7urBCntbBJ",2016-03-01
"Leap Day has us hopping to it like... #Ì†ΩÌ∞∏ #leapday #loveloft https://t.co/xczg7q4u9l",2016-02-29
"It only happens once every four years... Shop The Leap Day Sale. https://t.co/QVgHD5cAKr",2016-02-29
"@PamelaNicole84 We aren‚Äôt aware of any issues; however, please contact 1 888 LOFT 444 for further assistance!",2016-02-29
"@LeahAndRocks Sorry to hear that! Please email us at LOFTFacebook@anninc.com and we will follow up!",2016-02-29
"@yld_thng So sorry to hear that! Please visit https://t.co/s8ayKv1S0W or call us directly for potential return and exchange options.",2016-02-29
"@emme15 We are sorry to hear of your recent experience! Thank you for taking the time to share so we can further address.",2016-02-29
"We'd like to thank the Academy for giving us a reason to throw a great viewing party Ì†ΩÌ∏â. #oscars‚Ä¶ https://t.co/IYJEGmFdEJ",2016-02-29
"We ‚ù§Ô∏è this laid back look from @artinthefind in our Shipmate's Sweater. #loveloft https://t.co/WypwQx2ulm",2016-02-28
"The LOFT Cash Event. Receive now, redeem later. Learn more here: https://t.co/ZJpVa2xptt",2016-02-27
"Friday night in our Spot On Blouse. #ootd #loveloft https://t.co/5Ryot7I9sq",2016-02-27
"We've dressed up three mom-and-daughter duos from the LOFT staff and the results couldn't be more awwww-worthy. https://t.co/cgOsDG1S7N",2016-02-26
"@lostinWDC So sorry for any account difficulties. Please contact cardholder services at 1-866-907-5612.",2016-02-26
"@amry_2 Thank you for reaching out. Please email us at LOFTFacebook@anninc.com with additional details so we can follow up.",2016-02-26
"We're giving you permission to start planning that beach vacation Ì†ΩÌ∏â... #Ì†ΩÌ±ô #loveloft https://t.co/mImBxg5ymp",2016-02-25
"The Utility Blouse: Available in 7 colors so wearing one every day of the week is a given. https://t.co/hyw6qU9EDp https://t.co/xbNiC7hKF7",2016-02-25
"Receive $25 LOFT Cash for every $50 you spend in stores + online now through March 5. Learn more here: https://t.co/nyefEIKQff",2016-02-25
"The last layer (it's all about saving the best piece for last). https://t.co/6MxWXJ2b7A https://t.co/WpdeoW2pt2",2016-02-25
"""I love the way my mom makes everything feel like home."" --Allie on her mom Elizabeth. Get to‚Ä¶ https://t.co/x8qMdk1JPt",2016-02-24
"The cardigan: proving short and sweet is super chic... https://t.co/shKygrGecx https://t.co/BjVwaXavDD",2016-02-24
"Rainy NYC has us wishing for warmer weather. Ì†ΩÌ≥∑ of @tobruckave in LOFT Beach. #loftgetaway‚Ä¶ https://t.co/MmCcZN7Tjj",2016-02-23
"Eye-catching patterns in easy-to-wear cuts make making a statement simple (and super comfy). https://t.co/lybRGwd0cw https://t.co/itPJ34hmbw",2016-02-23
"Receive $25 LOFT Cash for every $50 you spend in stores + online now through March 5. Learn more here: https://t.co/Kt6L1mgB3P",2016-02-23
"@JulianneStaino If you still experience problems, please call us at 1 888 LOFT 444.",2016-02-23
"@jennkauffee Wow, great to hear you love LOFT!",2016-02-23
"@amry_2 Please contact us at clientservices@LOFT.com for help.",2016-02-23
"@ejmckinzie Sorry for the disappointment, we will share your  feedback.",2016-02-23
"But first, coffee ‚òïÔ∏è. #backtowork #loveloft https://t.co/HcnUgiUK4h",2016-02-22
"The LOFT Cash Event. Receive now, redeem later. Learn more here: https://t.co/UCvnMkGKyt",2016-02-21
"Major tassel envy from our LOFT x Village Ways Charitable Trust collection Ì†ΩÌπå. Click the link in‚Ä¶ https://t.co/ACyoi0J1Ou",2016-02-19
"Because we have warmer weather on our minds... https://t.co/mgJ9RsKddJ https://t.co/MnASR8cwzl",2016-02-19
"Sales to shop now and styles to wear later. Shop 40% off warmer weather + all sale styles: https://t.co/cPkgRvmAQL https://t.co/00xktvKs5B",2016-02-19
"Receive $25 LOFT Cash for every $50 you spend in stores + online now through March 5. Learn more here: https://t.co/wabHmxDkYg",2016-02-19
"Looks like @blaireadiebee is fitting in pretty nicely in our Off The Shoulder Jumpsuit from the‚Ä¶ https://t.co/c6DDN0AeN8",2016-02-19
"Spring will be here before you know it (insert sigh of relief here). https://t.co/cX3sJpChtK https://t.co/Y6ebZlNDG5",2016-02-18
"@FireballWhisky Drinks are on us Ì†ΩÌ∏â.",2016-02-18
"@JaclynRandall Jaclyn, we will have someone from https://t.co/s8ayKv1S0W follow up with you directly.",2016-02-18
"@maria_nowlin Maria, please call 1 888 LOFT 444 for further assistance. Thanks!",2016-02-18
"@cmconcowich We aren‚Äôt aware of any issues but if you continue to have problems, please contact us at 1 888 LOFT 444 for assistance.",2016-02-18
"@MomTeachCake We would like to hear, please contact us at LOFTFacebook@anninc.com.",2016-02-18
"@ariellebentley_ Sorry to hear, we will share. Please also reach out via LOFTFacebook@anninc.com so we may discuss.",2016-02-18
"@svlasin Sorry for any disappointment. We will share your feedback.",2016-02-18
"@DabneyPorte Wow, thanks for sharing Dabney! Glad it was such a positive experience.!",2016-02-18
"@chelseyrovo Please contact us at LOFTFacebook@anninc.com for further assistance.",2016-02-18
"@JaneCreel Jane, sorry for the disappointment. We will make sure to share.",2016-02-18
"Don't worry, we have your next date night outfit picked out for you Ì†ΩÌ∏â. #loveloft https://t.co/IOibB4csr5",2016-02-17
"‚ÄúShe‚Äôs forgiving, trusting and such a loving person.‚Äù Deja on her mom Jasmine. Get to know them‚Ä¶ https://t.co/D1aoN2WhQ3",2016-02-17
"Happy Birthday, Mr. Presidents. #loveloft https://t.co/M2Vs5WPQzr",2016-02-16
"The Kick Crop: It's our new stance on pants. https://t.co/We4QFEyU7X https://t.co/bMV9JLMtJL",2016-02-15
"Wishing everybody lots of love today ‚ù§Ô∏è. #happyvalentinesday #loveloft https://t.co/2ubLjv35zg",2016-02-14
"We have a major crush on these guys Ì†ΩÌ∏ç. #bemine #loveloft https://t.co/lmZ2I7n3wC",2016-02-13
"Your search for the perfect trench is over. #loveloft https://t.co/J3cix4wJ3c",2016-02-12
"OK, Cupid. Let's do this Ì†ΩÌ≤ï. iknowadoggy #valentinesday #loveloft https://t.co/W5oOKwFOgG",2016-02-11
"We love this scarf from our LOFT x Village Ways Charitable Trust partnership. Learn more: https://t.co/9JLGM40VQ5 https://t.co/V9HtO1z88d",2016-02-11
"@amy_andrea Sorry Amy, if you would like to connect with us further, please contact us at LOFTFacebook@anninc.com.",2016-02-11
"It's still chilly out, but that doesn't mean you cant heat things up: https://t.co/x39E0SNpI7 https://t.co/JwFNuNQ36F",2016-02-10
